Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;Fmprime1;Fmprime2;Fmprime3;Fmprime4;Fmprime5;Fmprime6;Fmprime7;Fmprime8;Fmprime9;Fmprime10;Fmprime11;Fmprime12;Fmprime13;Fmprime14;Fmprime15;Fmprime16;Fmprime17;Fmprime18;Fmprime19;Fmprime20;Fmprime21;Fmprime22;Foprime1;Foprime2;Foprime3;Foprime4;Foprime5;Foprime6;Foprime7;Foprime8;Foprime9;Foprime10;Foprime11;Foprime12;Foprime13;Foprime14;Foprime15;Foprime16;Foprime17;Foprime18;Foprime19;Foprime20;Foprime21;Foprime22;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NPQ)4;Y(NPQ)5;Y(NPQ)6;Y(NPQ)7;Y(NPQ)8;Y(NPQ)9;Y(NPQ)10;Y(NPQ)11;Y(NPQ)12;Y(NPQ)13;Y(NPQ)14;Y(NPQ)15;Y(NPQ)16;Y(NPQ)17;Y(NPQ)18;Y(NPQ)19;Y(NPQ)20;Y(NPQ)21;Y(NPQ)22;ETR1;ETR2;ETR3;ETR4;ETR5;ETR6;ETR7;ETR8;ETR9;ETR10;ETR11;ETR12;ETR13;ETR14;ETR15;ETR16;ETR17;ETR18;ETR19;ETR20;ETR21;ETR22;
05.05.23;16:47:44;1;0;0.0417;0.0583;0.0696;0.1039;0.1103;0.0735;0.0828;0.0696;0.0667;0.0765;0.0784;0.0520;0.0544;0.0814;0.0686;0.1505;0.0613;0.0662;0.0946;0.0794;0.0564;0.0667;0.0848;0.1294;0.1480;0.2039;0.2294;0.1574;0.1436;0.1451;0.1456;0.1775;0.1735;0.1181;0.1186;0.1824;0.1564;0.2270;0.1500;0.1426;0.1613;0.1833;0.1422;0.1534;0.0417;0.0583;0.0696;0.1039;0.1103;0.0735;0.0828;0.0696;0.0667;0.0765;0.0784;0.0520;0.0544;0.0814;0.0686;0.1505;0.0613;0.0662;0.0946;0.0794;0.0564;0.0667;0.509;0.549;0.530;0.490;0.519;0.533;0.423;0.520;0.542;0.569;0.548;0.560;0.541;0.554;0.561;0.337;0.592;0.536;0.413;0.567;0.603;0.565;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;
05.05.23;16:48:29;2;0;0.0431;0.0588;0.0716;0.1078;0.1123;0.0760;0.0868;0.0735;0.0711;0.0789;0.0819;0.0549;0.0583;0.0853;0.0721;0.1529;0.0632;0.0701;0.0980;0.0828;0.0627;0.0706;0.0824;0.1289;0.1436;0.2074;0.2201;0.1500;0.1426;0.1436;0.1475;0.1750;0.1696;0.1216;0.1147;0.1809;0.1500;0.2230;0.1480;0.1397;0.1623;0.1779;0.1426;0.1505;0.0411;0.0582;0.0686;0.1048;0.1081;0.0719;0.0825;0.0693;0.0671;0.0760;0.0776;0.0526;0.0536;0.0811;0.0674;0.1488;0.0609;0.0655;0.0949;0.0784;0.0564;0.0661;0.476;0.544;0.502;0.480;0.490;0.493;0.392;0.488;0.518;0.549;0.517;0.548;0.491;0.528;0.520;0.314;0.573;0.498;0.396;0.534;0.560;0.531;0.007;0.001;0.008;0.000;0.022;0.012;0.002;0.002;0.000;0.004;0.005;0.000;0.008;0.002;0.011;0.004;0.003;0.005;0.000;0.008;0.000;0.004;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;
05.05.23;16:51:33;3;1;0.0490;0.0652;0.0755;0.1132;0.1142;0.0833;0.0912;0.0858;0.0755;0.0882;0.0863;0.0588;0.0760;0.0882;0.0765;0.1588;0.0667;0.0770;0.1083;0.0809;0.0647;0.0745;0.0799;0.1294;0.1407;0.1975;0.2157;0.1534;0.1431;0.1417;0.1441;0.1706;0.1662;0.1225;0.1127;0.1784;0.1471;0.2181;0.1456;0.1358;0.1632;0.1721;0.1363;0.1505;0.0404;0.0583;0.0679;0.1022;0.1070;0.0727;0.0827;0.0688;0.0664;0.0752;0.0769;0.0528;0.0531;0.0806;0.0668;0.1466;0.0605;0.0647;0.0953;0.0772;0.0554;0.0661;0.387;0.496;0.463;0.427;0.470;0.457;0.363;0.394;0.476;0.483;0.481;0.520;0.326;0.505;0.480;0.272;0.542;0.433;0.336;0.530;0.525;0.505;0.015;0.000;0.013;0.008;0.031;0.006;0.001;0.006;0.002;0.010;0.011;0.000;0.011;0.005;0.031;0.031;0.008;0.012;0.000;0.028;0.011;0.005;  0.2;  0.2;  0.2;  0.2;  0.2;  0.2;  0.2;  0.2;  0.2;  0.2;  0.2;  0.2;  0.1;  0.2;  0.2;  0.1;  0.2;  0.2;  0.1;  0.2;  0.2;  0.2;
05.05.23;16:54:35;4;21;0.0461;0.0647;0.0755;0.1103;0.1137;0.0765;0.0858;0.0779;0.0775;0.0863;0.0809;0.0623;0.0578;0.0912;0.0711;0.1593;0.0706;0.0745;0.0990;0.0882;0.0657;0.0789;0.0686;0.1201;0.1230;0.1887;0.1966;0.1363;0.1074;0.1299;0.1358;0.1613;0.1392;0.1127;0.0848;0.1672;0.1142;0.1794;0.1314;0.1225;0.1245;0.1740;0.1382;0.1436;0.0373;0.0564;0.0635;0.0998;0.1021;0.0686;0.0693;0.0659;0.0645;0.0733;0.0706;0.0509;0.0460;0.0782;0.0591;0.1280;0.0579;0.0615;0.0806;0.0776;0.0557;0.0647;0.329;0.461;0.386;0.416;0.421;0.439;0.201;0.400;0.430;0.465;0.419;0.448;0.318;0.455;0.378;0.112;0.463;0.392;0.205;0.493;0.525;0.451;0.128;0.039;0.104;0.043;0.085;0.075;0.205;0.061;0.040;0.047;0.116;0.011;0.193;0.046;0.169;0.187;0.067;0.084;0.182;0.024;0.007;0.033;  2.9;  4.1;  3.4;  3.7;  3.7;  3.9;  1.8;  3.5;  3.8;  4.1;  3.7;  3.9;  2.8;  4.0;  3.3;  1.0;  4.1;  3.5;  1.8;  4.3;  4.6;  4.0;
05.05.23;16:57:38;5;56;0.0475;0.0667;0.0775;0.1098;0.1123;0.0765;0.0794;0.0765;0.0784;0.0887;0.0838;0.0652;0.0529;0.0892;0.0686;0.1554;0.0730;0.0721;0.0902;0.0926;0.0696;0.0828;0.0730;0.1147;0.1230;0.1804;0.1887;0.1353;0.0936;0.1328;0.1348;0.1681;0.1495;0.1083;0.0863;0.1642;0.1191;0.1583;0.1343;0.1250;0.1083;0.1794;0.1377;0.1456;0.0386;0.0551;0.0635;0.0974;0.0999;0.0683;0.0633;0.0667;0.0643;0.0747;0.0731;0.0500;0.0464;0.0776;0.0603;0.1169;0.0585;0.0621;0.0735;0.0787;0.0557;0.0651;0.349;0.419;0.371;0.391;0.405;0.435;0.152;0.424;0.418;0.472;0.439;0.398;0.386;0.457;0.424;0.000;0.456;0.424;0.167;0.484;0.495;0.431;0.089;0.066;0.106;0.069;0.107;0.078;0.295;0.049;0.043;0.030;0.076;0.050;0.167;0.054;0.137;0.305;0.055;0.072;0.273;0.006;0.008;0.013;  8.2;  9.9;  8.7;  9.2;  9.5; 10.2;  3.6; 10.0;  9.8; 11.1; 10.3;  9.4;  9.1; 10.7; 10.0;  0.0; 10.7; 10.0;  3.9; 11.4; 11.6; 10.1;
05.05.23;17:00:40;6;111;0.0490;0.0647;0.0755;0.1020;0.1054;0.0735;0.0789;0.0735;0.0794;0.0912;0.0887;0.0583;0.0495;0.0858;0.0701;0.1515;0.0725;0.0730;0.0858;0.0936;0.0721;0.0858;0.0613;0.1020;0.1123;0.1471;0.1681;0.1132;0.0843;0.1123;0.1216;0.1618;0.1417;0.0887;0.0662;0.1397;0.1088;0.1417;0.1123;0.1157;0.0956;0.1711;0.1373;0.1397;0.0351;0.0520;0.0605;0.0868;0.0939;0.0622;0.0589;0.0610;0.0611;0.0734;0.0712;0.0453;0.0399;0.0716;0.0576;0.1076;0.0539;0.0597;0.0674;0.0770;0.0556;0.0639;0.200;0.365;0.328;0.307;0.373;0.351;0.064;0.345;0.347;0.436;0.374;0.343;0.252;0.386;0.356;0.000;0.354;0.369;0.103;0.453;0.475;0.386;0.219;0.134;0.161;0.195;0.166;0.182;0.350;0.150;0.110;0.049;0.114;0.163;0.332;0.142;0.197;0.373;0.161;0.120;0.367;0.038;0.009;0.053;  9.3; 17.0; 15.3; 14.3; 17.4; 16.3;  3.0; 16.1; 16.2; 20.3; 17.4; 16.0; 11.7; 18.0; 16.6;  0.0; 16.5; 17.2;  4.8; 21.1; 22.1; 18.0;
05.05.23;17:03:43;7;186;0.0436;0.0569;0.0667;0.0858;0.0931;0.0647;0.0725;0.0613;0.0706;0.0819;0.0765;0.0495;0.0397;0.0765;0.0603;0.1407;0.0608;0.0657;0.0833;0.0833;0.0691;0.0765;0.0539;0.0799;0.0922;0.1069;0.1328;0.0946;0.0730;0.0936;0.0995;0.1294;0.1157;0.0711;0.0490;0.1108;0.0828;0.1299;0.0843;0.0931;0.0819;0.1333;0.1137;0.1181;0.0325;0.0456;0.0542;0.0710;0.0817;0.0561;0.0532;0.0551;0.0550;0.0659;0.0640;0.0402;0.0330;0.0632;0.0494;0.1006;0.0465;0.0531;0.0603;0.0683;0.0513;0.0590;0.191;0.288;0.277;0.197;0.299;0.316;0.000;0.346;0.291;0.367;0.339;0.303;0.190;0.310;0.272;0.000;0.279;0.295;0.000;0.375;0.392;0.353;0.297;0.274;0.274;0.382;0.294;0.272;0.493;0.232;0.227;0.172;0.220;0.277;0.476;0.271;0.343;0.430;0.317;0.245;0.493;0.171;0.122;0.149; 14.9; 22.5; 21.6; 15.4; 23.3; 24.7;  0.0; 27.0; 22.7; 28.7; 26.5; 23.7; 14.8; 24.2; 21.3;  0.0; 21.8; 23.0;  0.0; 29.3; 30.6; 27.6;
05.05.23;17:06:46;8;281;0.0333;0.0456;0.0569;0.0725;0.0784;0.0515;0.0662;0.0544;0.0608;0.0721;0.0676;0.0456;0.0324;0.0647;0.0515;0.1324;0.0544;0.0578;0.0789;0.0745;0.0632;0.0681;0.0441;0.0608;0.0730;0.0828;0.0995;0.0696;0.0647;0.0676;0.0755;0.0980;0.0868;0.0534;0.0319;0.0853;0.0642;0.1270;0.0632;0.0740;0.0735;0.1015;0.0912;0.0912;0.0287;0.0387;0.0469;0.0596;0.0678;0.0463;0.0486;0.0449;0.0468;0.0567;0.0540;0.0339;0.0242;0.0540;0.0421;0.0989;0.0393;0.0463;0.0557;0.0588;0.0461;0.0514;0.244;0.250;0.221;0.124;0.212;0.261;0.000;0.196;0.195;0.265;0.220;0.147;0.000;0.241;0.198;0.000;0.140;0.219;0.000;0.266;0.306;0.253;0.363;0.398;0.393;0.520;0.446;0.412;0.550;0.430;0.387;0.330;0.391;0.400;0.732;0.405;0.472;0.440;0.497;0.376;0.544;0.327;0.250;0.305; 28.8; 29.5; 26.1; 14.7; 25.0; 30.8;  0.0; 23.1; 23.0; 31.3; 26.0; 17.3;  0.0; 28.5; 23.4;  0.0; 16.5; 25.8;  0.0; 31.4; 36.2; 29.8;
05.05.23;17:09:48;9;336;0.0338;0.0417;0.0529;0.0662;0.0711;0.0500;0.0618;0.0451;0.0564;0.0613;0.0618;0.0392;0.0309;0.0554;0.0436;0.1304;0.0456;0.0505;0.0711;0.0647;0.0588;0.0647;0.0348;0.0505;0.0647;0.0740;0.0882;0.0603;0.0593;0.0598;0.0652;0.0853;0.0804;0.0446;0.0328;0.0696;0.0574;0.1221;0.0529;0.0632;0.0667;0.0892;0.0824;0.0745;0.0244;0.0342;0.0434;0.0549;0.0623;0.0420;0.0455;0.0413;0.0426;0.0522;0.0515;0.0301;0.0248;0.0472;0.0390;0.0959;0.0350;0.0418;0.0516;0.0545;0.0438;0.0457;0.000;0.175;0.182;0.106;0.194;0.171;0.000;0.246;0.135;0.282;0.232;0.121;0.000;0.204;0.239;0.000;0.139;0.202;0.000;0.275;0.286;0.132;0.591;0.504;0.461;0.531;0.496;0.512;0.588;0.443;0.479;0.373;0.413;0.501;0.724;0.492;0.482;0.463;0.508;0.445;0.585;0.372;0.300;0.448;  0.0; 24.7; 25.7; 15.0; 27.4; 24.1;  0.0; 34.7; 19.1; 39.7; 32.7; 17.1;  0.0; 28.8; 33.8;  0.0; 19.6; 28.4;  0.0; 38.8; 40.3; 18.6;
05.05.23;17:12:51;10;396;0.0294;0.0373;0.0505;0.0588;0.0667;0.0422;0.0598;0.0431;0.0529;0.0603;0.0583;0.0338;0.0299;0.0510;0.0426;0.1230;0.0451;0.0495;0.0662;0.0593;0.0574;0.0569;0.0348;0.0466;0.0608;0.0642;0.0819;0.0505;0.0554;0.0539;0.0608;0.0779;0.0750;0.0382;0.0225;0.0608;0.0529;0.1162;0.0505;0.0564;0.0613;0.0750;0.0701;0.0632;0.0244;0.0324;0.0416;0.0493;0.0591;0.0370;0.0432;0.0384;0.0407;0.0493;0.0492;0.0271;0.0184;0.0430;0.0369;0.0922;0.0339;0.0387;0.0483;0.0488;0.0400;0.0412;0.155;0.200;0.169;0.084;0.186;0.165;0.000;0.200;0.129;0.226;0.222;0.115;0.000;0.161;0.194;0.000;0.107;0.122;0.000;0.209;0.182;0.101;0.436;0.511;0.491;0.602;0.524;0.567;0.615;0.503;0.454;0.433;0.442;0.561;0.800;0.560;0.533;0.489;0.557;0.484;0.620;0.467;0.416;0.487; 25.8; 33.3; 28.2; 14.0; 30.9; 27.5;  0.0; 33.3; 21.5; 37.7; 37.0; 19.2;  0.0; 26.8; 32.3;  0.0; 17.8; 20.2;  0.0; 34.8; 30.2; 16.8;
