Date,Time,No.,PAR,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,Fm'1,Fm'2,Fm'3,Fm'4,Fm'5,Fm'6,Fm'7,Fm'8,Fm'9,Fm'10,Fm'11,Fm'12,Fm'13,Fm'14,Fm'15,Fm'16,Fm'17,Fm'18,Fm'19,Fm'20,Fm'21,Fm'22,Fo'1,Fo'2,Fo'3,Fo'4,Fo'5,Fo'6,Fo'7,Fo'8,Fo'9,Fo'10,Fo'11,Fo'12,Fo'13,Fo'14,Fo'15,Fo'16,Fo'17,Fo'18,Fo'19,Fo'20,Fo'21,Fo'22,Y(II)1,Y(II)2,Y(II)3,Y(II)4,Y(II)5,Y(II)6,Y(II)7,Y(II)8,Y(II)9,Y(II)10,Y(II)11,Y(II)12,Y(II)13,Y(II)14,Y(II)15,Y(II)16,Y(II)17,Y(II)18,Y(II)19,Y(II)20,Y(II)21,Y(II)22,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NPQ)4,Y(NPQ)5,Y(NPQ)6,Y(NPQ)7,Y(NPQ)8,Y(NPQ)9,Y(NPQ)10,Y(NPQ)11,Y(NPQ)12,Y(NPQ)13,Y(NPQ)14,Y(NPQ)15,Y(NPQ)16,Y(NPQ)17,Y(NPQ)18,Y(NPQ)19,Y(NPQ)20,Y(NPQ)21,Y(NPQ)22,ETR1,ETR2,ETR3,ETR4,ETR5,ETR6,ETR7,ETR8,ETR9,ETR10,ETR11,ETR12,ETR13,ETR14,ETR15,ETR16,ETR17,ETR18,ETR19,ETR20,ETR21,ETR22
05.05.23,16:47:44,1,0,0.05,0.0775,0.0961,0.0956,0.1118,0.0779,0.0956,0.0946,0.0789,0.0951,0.0873,0.073,0.0515,0.1005,0.0809,0.151,0.0833,0.0917,0.1216,0.0946,0.073,0.0946,0.102,0.174,0.2044,0.1917,0.2348,0.1637,0.1672,0.2029,0.1721,0.2196,0.1971,0.1711,0.1059,0.2245,0.1853,0.2309,0.2078,0.2039,0.2127,0.2181,0.1858,0.224,0.05,0.0775,0.0961,0.0956,0.1118,0.0779,0.0956,0.0946,0.0789,0.0951,0.0873,0.073,0.0515,0.1005,0.0809,0.151,0.0833,0.0917,0.1216,0.0946,0.073,0.0946,0.51,0.555,0.53,0.501,0.524,0.524,0.428,0.534,0.541,0.567,0.557,0.573,0.514,0.552,0.563,0.346,0.599,0.55,0.429,0.566,0.607,0.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05.05.23,16:48:29,2,0,0.052,0.0794,0.099,0.1,0.1147,0.0789,0.101,0.1005,0.0833,0.0966,0.0917,0.0779,0.0534,0.1054,0.0863,0.1544,0.0887,0.0985,0.127,0.098,0.0824,0.1044,0.1064,0.1725,0.1971,0.1926,0.226,0.1544,0.1672,0.198,0.1745,0.2162,0.1922,0.1755,0.1015,0.224,0.1775,0.226,0.2034,0.2025,0.2118,0.2142,0.1843,0.2191,0.051,0.0772,0.0944,0.0958,0.1097,0.0758,0.0956,0.0935,0.0794,0.0944,0.0863,0.0738,0.0504,0.1004,0.0794,0.1489,0.0826,0.0914,0.1212,0.0939,0.0728,0.0937,0.512,0.54,0.498,0.481,0.492,0.489,0.396,0.493,0.522,0.553,0.523,0.556,0.473,0.53,0.514,0.317,0.564,0.513,0.4,0.542,0.553,0.523,0,0.002,0.01,0,0.017,0.03,0,0.006,0,0.004,0.006,0,0.011,0.001,0.011,0.005,0.005,0.002,0.001,0.004,0.002,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05.05.23,16:51:33,3,1,0.0637,0.0868,0.1025,0.1034,0.1162,0.0863,0.1074,0.1167,0.0882,0.1088,0.0975,0.0824,0.0662,0.1093,0.0892,0.1608,0.0922,0.1123,0.1412,0.099,0.0824,0.1083,0.0961,0.1725,0.1922,0.1848,0.2196,0.1574,0.1662,0.1971,0.1706,0.2137,0.1882,0.176,0.0966,0.226,0.173,0.223,0.2025,0.1931,0.2113,0.2118,0.1858,0.2152,0.0485,0.0772,0.0933,0.0939,0.1082,0.0765,0.0953,0.0933,0.0786,0.094,0.0855,0.0739,0.0492,0.1008,0.0785,0.1476,0.0825,0.0894,0.1211,0.0934,0.073,0.093,0.337,0.497,0.467,0.44,0.471,0.452,0.354,0.408,0.483,0.491,0.482,0.532,0.315,0.516,0.484,0.279,0.545,0.419,0.332,0.532,0.557,0.497,0.014,0.002,0.031,0.009,0.033,0.01,0.002,0.008,0.002,0.006,0.023,0,0.059,0,0.036,0.007,0.006,0.033,0.001,0.008,0,0.021,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2
05.05.23,16:54:35,4,21,0.0588,0.0858,0.1034,0.1034,0.1157,0.0794,0.098,0.1083,0.0912,0.1093,0.0897,0.0887,0.052,0.1132,0.0843,0.1623,0.0966,0.1078,0.1289,0.1054,0.0868,0.1142,0.0873,0.1583,0.1711,0.1775,0.202,0.1431,0.125,0.1799,0.1608,0.202,0.1588,0.1627,0.0721,0.2132,0.1392,0.1814,0.1828,0.175,0.1652,0.2098,0.1784,0.2127,0.0462,0.0742,0.088,0.0919,0.1037,0.0729,0.0801,0.0893,0.0765,0.0916,0.0788,0.0715,0.0419,0.0982,0.0707,0.1281,0.079,0.0853,0.1044,0.093,0.0719,0.0925,0.326,0.458,0.395,0.417,0.427,0.445,0.216,0.398,0.433,0.459,0.435,0.455,0.279,0.469,0.394,0.105,0.472,0.384,0.22,0.498,0.514,0.463,0.099,0.048,0.097,0.043,0.079,0.07,0.2,0.067,0.036,0.045,0.108,0.026,0.231,0.026,0.15,0.189,0.065,0.089,0.172,0.021,0.01,0.025,2.9,4,3.5,3.7,3.8,3.9,1.9,3.5,3.8,4,3.8,4,2.5,4.1,3.5,0.9,4.2,3.4,1.9,4.4,4.5,4.1
05.05.23,16:57:38,5,56,0.0544,0.0873,0.1039,0.1029,0.1152,0.0784,0.0902,0.1029,0.0922,0.1118,0.0936,0.0917,0.0485,0.1123,0.0814,0.1583,0.0995,0.1034,0.1181,0.1093,0.0912,0.1196,0.0917,0.1549,0.1706,0.1676,0.1936,0.1426,0.1078,0.1828,0.1598,0.2108,0.1681,0.1559,0.076,0.2103,0.1461,0.1613,0.1882,0.1858,0.1456,0.2152,0.1784,0.2147,0.0474,0.0734,0.0879,0.0892,0.1015,0.0728,0.0727,0.09,0.0762,0.0934,0.0811,0.0701,0.0432,0.0975,0.0724,0.1177,0.08,0.0878,0.0962,0.0941,0.0719,0.0929,0.406,0.437,0.391,0.386,0.405,0.45,0.164,0.437,0.423,0.47,0.443,0.412,0.361,0.466,0.443,0,0.471,0.443,0.189,0.492,0.489,0.443,0.06,0.063,0.103,0.076,0.106,0.07,0.296,0.055,0.041,0.023,0.082,0.051,0.18,0.033,0.118,0.305,0.051,0.048,0.254,0.004,0.01,0.024,9.6,10.3,9.2,9.1,9.5,10.6,3.8,10.3,10,11,10.4,9.7,8.5,11,10.4,0,11.1,10.4,4.4,11.6,11.5,10.4
05.05.23,17:00:40,6,111,0.0623,0.0868,0.1015,0.0975,0.1083,0.077,0.0892,0.1005,0.0917,0.1137,0.0995,0.0838,0.0446,0.1083,0.0838,0.1544,0.1,0.1044,0.1132,0.1152,0.0951,0.1216,0.0784,0.1382,0.1554,0.1377,0.173,0.1201,0.0956,0.1574,0.1446,0.202,0.1618,0.1299,0.0559,0.1809,0.1304,0.1446,0.1593,0.1711,0.1225,0.2059,0.1809,0.1961,0.0436,0.0694,0.0837,0.08,0.0955,0.0664,0.0669,0.0834,0.0726,0.0916,0.0796,0.0643,0.0359,0.0907,0.0683,0.1086,0.0743,0.0844,0.0856,0.0922,0.0723,0.0892,0.206,0.372,0.347,0.292,0.374,0.359,0.067,0.361,0.366,0.437,0.385,0.355,0.202,0.401,0.357,0,0.372,0.39,0.076,0.44,0.474,0.38,0.182,0.131,0.156,0.199,0.166,0.17,0.363,0.142,0.1,0.047,0.11,0.154,0.377,0.115,0.191,0.373,0.145,0.097,0.392,0.032,0.006,0.077,9.6,17.4,16.2,13.6,17.4,16.7,3.1,16.8,17.1,20.4,17.9,16.5,9.4,18.7,16.7,0,17.4,18.2,3.5,20.5,22.1,17.7
05.05.23,17:03:43,7,186,0.0554,0.0755,0.0882,0.0828,0.098,0.0686,0.0814,0.0828,0.0809,0.1029,0.0853,0.0711,0.0348,0.0971,0.0721,0.1436,0.0828,0.0951,0.1108,0.1025,0.0868,0.1118,0.0672,0.1074,0.125,0.1025,0.1407,0.1005,0.0824,0.1284,0.1176,0.1701,0.1309,0.1029,0.0441,0.1426,0.1015,0.1328,0.1196,0.1426,0.1083,0.1618,0.1544,0.1686,0.0399,0.0607,0.074,0.0666,0.0848,0.06,0.0602,0.0745,0.0651,0.0845,0.0713,0.0569,0.0306,0.08,0.0594,0.1018,0.0643,0.0768,0.0784,0.0822,0.0676,0.0831,0.175,0.297,0.294,0.191,0.303,0.317,0,0.355,0.313,0.395,0.348,0.31,0.211,0.32,0.29,0,0.307,0.333,0,0.367,0.438,0.337,0.281,0.271,0.273,0.378,0.28,0.264,0.509,0.237,0.215,0.138,0.218,0.275,0.46,0.249,0.322,0.424,0.294,0.199,0.489,0.163,0.095,0.165,13.7,23.2,23,15,23.7,24.8,0,27.7,24.4,30.8,27.2,24.2,16.5,25,22.6,0,24,26,0,28.6,34.2,26.3
05.05.23,17:06:46,8,281,0.0441,0.0613,0.074,0.0721,0.0838,0.0554,0.074,0.0725,0.0696,0.0931,0.076,0.0657,0.027,0.0828,0.0618,0.1353,0.0721,0.0828,0.1044,0.0926,0.0789,0.0922,0.0534,0.0828,0.098,0.0804,0.1029,0.076,0.073,0.0926,0.0892,0.1299,0.099,0.074,0.0289,0.1103,0.0789,0.1299,0.0897,0.1127,0.101,0.1314,0.1167,0.1284,0.0346,0.052,0.0636,0.0566,0.0694,0.0503,0.055,0.0608,0.0553,0.0732,0.0607,0.0468,0.0224,0.0687,0.0509,0.1001,0.0545,0.0672,0.0745,0.0735,0.0592,0.072,0.174,0.26,0.245,0.104,0.186,0.271,0,0.217,0.22,0.283,0.233,0.113,0,0.249,0.217,0,0.197,0.265,0,0.295,0.324,0.282,0.393,0.387,0.393,0.52,0.458,0.391,0.563,0.426,0.375,0.293,0.381,0.504,0.727,0.382,0.449,0.44,0.457,0.33,0.527,0.28,0.253,0.305,20.6,30.7,28.9,12.2,21.9,32,0,25.6,25.9,33.4,27.5,13.3,0,29.4,25.7,0,23.2,31.3,0,34.8,38.2,33.3
05.05.23,17:09:48,9,336,0.0461,0.0549,0.0691,0.0657,0.075,0.0544,0.0681,0.0613,0.0637,0.0794,0.0691,0.0549,0.027,0.0721,0.0539,0.1319,0.0618,0.073,0.0961,0.0809,0.0779,0.0863,0.0426,0.0701,0.0838,0.0716,0.0966,0.0667,0.0672,0.0819,0.0755,0.1147,0.0902,0.0637,0.0309,0.0897,0.0716,0.1255,0.074,0.0971,0.0892,0.1127,0.1147,0.102,0.0297,0.0467,0.0573,0.052,0.0665,0.046,0.0516,0.056,0.0497,0.0681,0.0572,0.0425,0.0236,0.0601,0.0478,0.0975,0.0483,0.0613,0.0679,0.0673,0.0587,0.0628,0,0.217,0.175,0.082,0.223,0.184,0,0.251,0.156,0.308,0.234,0.138,0,0.197,0.247,0,0.166,0.247,0,0.283,0.321,0.154,0.583,0.468,0.487,0.544,0.457,0.484,0.598,0.446,0.475,0.33,0.416,0.54,0.709,0.483,0.462,0.459,0.537,0.394,0.58,0.348,0.261,0.46,0,30.6,24.8,11.6,31.5,25.9,0,35.5,22,43.4,33,19.5,0,27.8,34.8,0,23.4,34.9,0,39.9,45.2,21.7
05.05.23,17:12:51,10,396,0.0402,0.0505,0.0657,0.0564,0.073,0.0461,0.0662,0.0583,0.0593,0.0779,0.0657,0.048,0.027,0.0642,0.0515,0.1275,0.0613,0.0701,0.0887,0.073,0.074,0.0735,0.0456,0.0647,0.0809,0.0613,0.0882,0.0564,0.0613,0.0721,0.0701,0.1039,0.0838,0.0559,0.0201,0.0789,0.0637,0.1191,0.0681,0.0843,0.0833,0.0995,0.0946,0.0833,0.0311,0.0442,0.0559,0.0464,0.0624,0.0409,0.0481,0.0512,0.0473,0.0642,0.0546,0.0388,0.0167,0.055,0.0441,0.0936,0.0457,0.056,0.0644,0.0624,0.053,0.0552,0.118,0.22,0.188,0.08,0.172,0.183,0,0.19,0.154,0.25,0.216,0.14,0,0.186,0.192,0,0.101,0.169,0,0.266,0.218,0.118,0.435,0.491,0.49,0.601,0.517,0.535,0.633,0.522,0.502,0.395,0.45,0.532,0.8,0.528,0.53,0.485,0.572,0.487,0.608,0.399,0.383,0.555,19.7,36.5,31.2,13.3,28.6,30.4,0,31.7,25.6,41.6,36,23.3,0,31,32,0,16.8,28,0,44.2,36.2,19.6
