Date,Time,No.,PAR,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,Fm'1,Fm'2,Fm'3,Fm'4,Fm'5,Fm'6,Fm'7,Fm'8,Fm'9,Fm'10,Fm'11,Fm'12,Fm'13,Fm'14,Fm'15,Fm'16,Fm'17,Fm'18,Fm'19,Fm'20,Fm'21,Fm'22,Fo'1,Fo'2,Fo'3,Fo'4,Fo'5,Fo'6,Fo'7,Fo'8,Fo'9,Fo'10,Fo'11,Fo'12,Fo'13,Fo'14,Fo'15,Fo'16,Fo'17,Fo'18,Fo'19,Fo'20,Fo'21,Fo'22,Y(II)1,Y(II)2,Y(II)3,Y(II)4,Y(II)5,Y(II)6,Y(II)7,Y(II)8,Y(II)9,Y(II)10,Y(II)11,Y(II)12,Y(II)13,Y(II)14,Y(II)15,Y(II)16,Y(II)17,Y(II)18,Y(II)19,Y(II)20,Y(II)21,Y(II)22,NPQ1,NPQ2,NPQ3,NPQ4,NPQ5,NPQ6,NPQ7,NPQ8,NPQ9,NPQ10,NPQ11,NPQ12,NPQ13,NPQ14,NPQ15,NPQ16,NPQ17,NPQ18,NPQ19,NPQ20,NPQ21,NPQ22,ETR1,ETR2,ETR3,ETR4,ETR5,ETR6,ETR7,ETR8,ETR9,ETR10,ETR11,ETR12,ETR13,ETR14,ETR15,ETR16,ETR17,ETR18,ETR19,ETR20,ETR21,ETR22
10.05.23,13:47:22,1,0,0.0559,0.3029,0.1873,0.2637,0.1167,0.1127,0.0946,0.0877,0.173,0.0892,0.0775,0.1147,0.0936,0.1892,0.1735,0.0966,0.0608,0.1373,0.1309,0.1157,0.1451,0.1074,0.1196,0.4255,0.4377,0.3069,0.2485,0.2044,0.2025,0.2093,0.4127,0.2059,0.1922,0.2564,0.2127,0.2603,0.3897,0.2539,0.1324,0.3343,0.2392,0.2686,0.3319,0.2672,0.0559,0.3029,0.1873,0.2637,0.1167,0.1127,0.0946,0.0877,0.173,0.0892,0.0775,0.1147,0.0936,0.1892,0.1735,0.0966,0.0608,0.1373,0.1309,0.1157,0.1451,0.1074,0.533,0.288,0.572,0.141,0.531,0.448,0.533,0.581,0.581,0.567,0.597,0.553,0.56,0.273,0.555,0.62,0.541,0.589,0.453,0.569,0.563,0.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.05.23,13:50:25,2,1,0.0534,0.2574,0.1652,0.2554,0.1103,0.1034,0.0799,0.0799,0.1627,0.0858,0.0711,0.1069,0.0882,0.1721,0.1564,0.0936,0.0623,0.1255,0.1206,0.1074,0.1319,0.0995,0.1054,0.3681,0.3721,0.2721,0.225,0.1711,0.1696,0.1691,0.3554,0.1755,0.1672,0.2289,0.1902,0.2353,0.3436,0.2314,0.1142,0.2912,0.2098,0.2324,0.2956,0.2402,0.0526,0.2727,0.1741,0.2376,0.1112,0.1018,0.0868,0.0798,0.1621,0.083,0.073,0.1089,0.089,0.1756,0.1638,0.0931,0.0567,0.1294,0.1216,0.1084,0.1377,0.1027,0.493,0.301,0.556,0.061,0.51,0.395,0.529,0.528,0.542,0.511,0.575,0.533,0.536,0.269,0.545,0.595,0.455,0.569,0.425,0.538,0.554,0.586,0.062,0.059,0.046,0.105,0.044,0.097,0.042,0.091,0.063,0.072,0.046,0.043,0.047,0.058,0.036,0.035,0.074,0.043,0.067,0.059,0.032,0.029,0.2,0.2,0.3,0,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3
10.05.23,13:53:28,3,21,0.0529,0.1887,0.1637,0.2647,0.0995,0.0863,0.0775,0.0765,0.1554,0.0804,0.0755,0.1088,0.0848,0.1422,0.1475,0.0966,0.0525,0.1309,0.099,0.1088,0.1333,0.1064,0.0882,0.2382,0.3005,0.2471,0.1623,0.1108,0.1319,0.1382,0.2789,0.1397,0.148,0.1956,0.1515,0.1667,0.2574,0.2093,0.0672,0.2451,0.1348,0.173,0.2466,0.2167,0.0479,0.1942,0.1566,0.2183,0.0934,0.0769,0.0757,0.0722,0.1441,0.074,0.0691,0.1007,0.0795,0.1344,0.1412,0.0893,0.042,0.1194,0.0919,0.0935,0.126,0.0982,0.4,0.208,0.455,0,0.387,0.221,0.413,0.447,0.443,0.425,0.49,0.444,0.44,0.147,0.427,0.539,0.219,0.466,0.265,0.371,0.459,0.509,0.158,0.335,0.17,0.19,0.213,0.357,0.205,0.188,0.182,0.184,0.117,0.132,0.162,0.308,0.195,0.082,0.385,0.142,0.32,0.223,0.139,0.093,4.2,2.2,4.8,0,4.1,2.3,4.3,4.7,4.7,4.5,5.1,4.7,4.6,1.5,4.5,5.7,2.3,4.9,2.8,3.9,4.8,5.3
10.05.23,13:56:30,4,56,0.0495,0.1603,0.1716,0.2642,0.0946,0.0833,0.0809,0.0838,0.152,0.0814,0.0799,0.1162,0.0868,0.1314,0.1466,0.1025,0.0461,0.1294,0.0897,0.1064,0.1363,0.1078,0.0789,0.1887,0.3201,0.2422,0.1402,0.099,0.1392,0.1407,0.2534,0.1319,0.1451,0.1966,0.1554,0.1353,0.2446,0.2049,0.0647,0.2216,0.1152,0.1475,0.2417,0.224,0.045,0.16,0.1618,0.2145,0.0856,0.071,0.078,0.0728,0.1369,0.0718,0.0685,0.101,0.0805,0.1132,0.1373,0.0885,0.0411,0.1135,0.0824,0.0855,0.1247,0.0996,0.373,0.151,0.464,0,0.325,0.158,0.419,0.404,0.4,0.383,0.449,0.409,0.442,0,0.401,0.5,0.288,0.416,0.221,0.279,0.436,0.519,0.214,0.473,0.143,0.211,0.294,0.434,0.181,0.195,0.231,0.222,0.136,0.136,0.152,0.481,0.224,0.095,0.365,0.196,0.405,0.324,0.154,0.077,10.4,4.2,13,0,9.1,4.4,11.7,11.3,11.2,10.7,12.6,11.5,12.4,0,11.2,14,8.1,11.6,6.2,7.8,12.2,14.5
10.05.23,13:59:33,5,111,0.0495,0.149,0.1667,0.2603,0.0868,0.0765,0.0824,0.0858,0.1353,0.0804,0.0833,0.1172,0.0838,0.126,0.1441,0.1034,0.0441,0.1221,0.077,0.102,0.1353,0.1103,0.0598,0.1627,0.2936,0.2451,0.1157,0.0863,0.1289,0.126,0.198,0.1142,0.126,0.1828,0.1387,0.1221,0.2206,0.1775,0.0554,0.1833,0.0912,0.1221,0.2181,0.2049,0.0381,0.1409,0.1548,0.2168,0.0758,0.0642,0.0747,0.0687,0.119,0.0662,0.0639,0.0972,0.0758,0.1038,0.1294,0.083,0.0371,0.1026,0.0693,0.0763,0.1182,0.0957,0.172,0.084,0.432,0,0.25,0.114,0.361,0.319,0.317,0.296,0.339,0.359,0.396,0,0.347,0.417,0.204,0.334,0.156,0.165,0.38,0.462,0.415,0.565,0.186,0.201,0.401,0.511,0.231,0.271,0.355,0.313,0.226,0.185,0.21,0.53,0.284,0.174,0.464,0.299,0.523,0.457,0.212,0.125,9.6,4.7,24,0,13.9,6.3,20,17.7,17.6,16.4,18.8,19.9,22,0,19.2,23.2,11.3,18.5,8.7,9.1,21.1,25.6
10.05.23,14:02:35,6,186,0.0525,0.126,0.1475,0.2544,0.074,0.0721,0.0755,0.0804,0.1201,0.0706,0.0765,0.1157,0.0775,0.1172,0.126,0.0941,0.0397,0.1064,0.073,0.0941,0.124,0.1025,0.0578,0.1363,0.225,0.2353,0.0897,0.0691,0.1049,0.102,0.1515,0.0863,0.1054,0.1534,0.1142,0.1152,0.1804,0.1422,0.0456,0.1436,0.0799,0.1005,0.177,0.1676,0.0373,0.1206,0.1333,0.2091,0.0637,0.0542,0.0659,0.0609,0.1004,0.0557,0.0582,0.0882,0.0679,0.0988,0.1144,0.0743,0.0324,0.0888,0.0626,0.0672,0.1049,0.0867,0.093,0.076,0.344,0,0.175,0,0.28,0.212,0.207,0.182,0.274,0.246,0.322,0,0.302,0.338,0.129,0.259,0.086,0.063,0.299,0.389,0.423,0.628,0.318,0.23,0.528,0.662,0.346,0.404,0.502,0.475,0.326,0.304,0.314,0.557,0.375,0.291,0.526,0.423,0.58,0.563,0.327,0.228,8.7,7,32,0,16.3,0,26.1,19.7,19.3,16.9,25.5,22.9,29.9,0,28.1,31.4,12,24.1,8,5.9,27.8,36.2
10.05.23,14:05:38,7,281,0.0485,0.1123,0.1221,0.2407,0.0662,0.0662,0.0642,0.0667,0.099,0.0613,0.0672,0.1054,0.0627,0.1113,0.1088,0.0833,0.0363,0.0907,0.0623,0.0814,0.1049,0.0877,0.0559,0.1152,0.1706,0.2299,0.0711,0.0662,0.0838,0.0765,0.1211,0.0701,0.0838,0.1304,0.0868,0.1049,0.1417,0.1093,0.0343,0.1152,0.0652,0.0838,0.1382,0.1333,0.0365,0.1038,0.1121,0.2048,0.0537,0.0524,0.0569,0.0508,0.0861,0.0485,0.0509,0.0801,0.0571,0.0911,0.0975,0.0642,0.0263,0.0771,0.0532,0.0593,0.09,0.0765,0.132,0,0.284,0,0.069,0,0.234,0.128,0.182,0.126,0.199,0.192,0.277,0,0.232,0.238,0,0.213,0,0,0.241,0.342,0.402,0.73,0.437,0.248,0.645,0.676,0.449,0.554,0.578,0.576,0.451,0.398,0.429,0.596,0.49,0.434,0.741,0.516,0.727,0.689,0.442,0.33,18.5,0,40,0,9.7,0,32.9,18,25.6,17.7,27.9,26.9,38.9,0,32.6,33.4,0,29.9,0,0,33.9,48
10.05.23,14:08:41,8,336,0.0456,0.1005,0.1118,0.2417,0.0559,0.0608,0.0627,0.0603,0.0868,0.0529,0.0623,0.0961,0.0608,0.1025,0.099,0.0725,0.0304,0.0809,0.0554,0.0701,0.0966,0.0843,0.0436,0.0975,0.1446,0.2245,0.0637,0.0623,0.0735,0.0686,0.1054,0.0588,0.0804,0.1132,0.0784,0.0971,0.1181,0.0936,0.0294,0.0951,0.0588,0.074,0.126,0.1191,0.0308,0.0893,0.1003,0.2005,0.0494,0.0499,0.052,0.0472,0.0779,0.0428,0.0496,0.0733,0.0534,0.0851,0.0858,0.0585,0.0233,0.0675,0.0489,0.0543,0.0846,0.0716,0,0,0.227,0,0.123,0,0.147,0.121,0.177,0.1,0.226,0.152,0.225,0,0.162,0.225,0,0.149,0,0,0.233,0.292,0.635,0.77,0.517,0.265,0.621,0.696,0.544,0.591,0.613,0.614,0.451,0.474,0.489,0.627,0.585,0.489,0.778,0.608,0.755,0.725,0.475,0.392,0,0,38.2,0,20.7,0,24.6,20.4,29.7,16.8,37.9,25.5,37.8,0,27.2,37.8,0,25.1,0,0,39.2,49.1
10.05.23,14:11:43,9,396,0.0475,0.0907,0.1025,0.2319,0.0539,0.0544,0.0569,0.0529,0.074,0.0461,0.0559,0.0892,0.0544,0.0956,0.0892,0.0647,0.0235,0.0691,0.049,0.0627,0.0877,0.0745,0.0368,0.0917,0.125,0.2176,0.0578,0.0525,0.0696,0.0598,0.0843,0.05,0.0686,0.0985,0.0701,0.0902,0.1029,0.0804,0.0289,0.0828,0.0466,0.0672,0.1098,0.1054,0.0272,0.0843,0.0904,0.195,0.0458,0.0434,0.05,0.0428,0.0657,0.0379,0.0449,0.0668,0.0494,0.0798,0.0775,0.053,0.023,0.0611,0.0401,0.0505,0.077,0.0664,0,0,0.18,0,0,0,0.183,0.115,0.122,0,0.186,0.095,0.224,0,0.133,0.195,0.186,0.166,0,0.066,0.201,0.293,0.693,0.784,0.586,0.29,0.767,0.744,0.537,0.599,0.698,0.757,0.524,0.557,0.521,0.653,0.638,0.55,0.595,0.628,0.8,0.684,0.535,0.428,0,0,35.7,0,0,0,36.3,22.7,24.2,0,36.8,18.7,44.3,0,26.4,38.6,36.9,32.8,0,13,39.8,58
10.05.23,14:14:46,10,461,0.0368,0.0848,0.0882,0.2167,0.0466,0.0525,0.0539,0.0451,0.0676,0.0417,0.0534,0.0784,0.0534,0.0907,0.0804,0.0603,0.024,0.0623,0.05,0.0613,0.0799,0.0691,0.0446,0.077,0.1074,0.2039,0.0461,0.0426,0.0613,0.0525,0.0725,0.0436,0.0608,0.0873,0.0642,0.0824,0.0877,0.0706,0.0196,0.0711,0.0461,0.0593,0.098,0.0868,0.0313,0.0717,0.0808,0.1839,0.0381,0.0365,0.0456,0.0389,0.0583,0.0342,0.0414,0.0614,0.0464,0.0736,0.0685,0.0486,0.0167,0.0545,0.0397,0.0459,0.071,0.0585,0.176,0,0.178,0,0,0,0.12,0.14,0.068,0,0.121,0.101,0.168,0,0.084,0.146,0,0.124,0,0,0.185,0.203,0.451,0.8,0.62,0.334,0.8,0.791,0.578,0.61,0.732,0.788,0.563,0.594,0.58,0.684,0.691,0.617,0,0.69,0.8,0.779,0.574,0.538,40.5,0,41,0,0,0,27.7,32.3,15.6,0,27.9,23.3,38.7,0,19.3,33.6,0,28.6,0,0,42.6,46.9
