Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fo'1;Fo'2;Fo'3;Fo'4;Fo'5;Fo'6;Fo'7;Fo'8;Fo'9;Fo'10;Fo'11;Fo'12;Fo'13;Fo'14;Fo'15;Fo'16;Fo'17;Fo'18;Fo'19;Fo'20;Fo'21;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NPQ)4;Y(NPQ)5;Y(NPQ)6;Y(NPQ)7;Y(NPQ)8;Y(NPQ)9;Y(NPQ)10;Y(NPQ)11;Y(NPQ)12;Y(NPQ)13;Y(NPQ)14;Y(NPQ)15;Y(NPQ)16;Y(NPQ)17;Y(NPQ)18;Y(NPQ)19;Y(NPQ)20;Y(NPQ)21;ETR1;ETR2;ETR3;ETR4;ETR5;ETR6;ETR7;ETR8;ETR9;ETR10;ETR11;ETR12;ETR13;ETR14;ETR15;ETR16;ETR17;ETR18;ETR19;ETR20;ETR21;
10.05.23;16:15:46;1;0;0.0676;0.0657;0.0441;0.0603;0.0868;0.0402;0.0544;0.1005;0.0740;0.0711;0.0652;0.0373;0.0809;0.0426;0.0936;0.0647;0.0490;0.0691;0.0598;0.0794;0.1319;0.1627;0.1505;0.1206;0.1314;0.1814;0.0843;0.1181;0.1985;0.1725;0.1672;0.1471;0.0740;0.1765;0.1426;0.2088;0.1436;0.1118;0.1074;0.1216;0.1681;0.1936;0.0676;0.0657;0.0441;0.0603;0.0868;0.0402;0.0544;0.1005;0.0740;0.0711;0.0652;0.0373;0.0809;0.0426;0.0936;0.0647;0.0490;0.0691;0.0598;0.0794;0.1319;0.584;0.564;0.634;0.541;0.522;0.523;0.539;0.494;0.571;0.575;0.557;0.497;0.542;0.701;0.552;0.549;0.561;0.356;0.508;0.528;0.319;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;
10.05.23;16:18:50;2;1;0.0657;0.0642;0.0431;0.0598;0.0828;0.0392;0.0510;0.1044;0.0750;0.0745;0.0657;0.0348;0.0824;0.0461;0.0995;0.0706;0.0451;0.0632;0.0583;0.0809;0.1328;0.1456;0.1407;0.1201;0.1230;0.1691;0.0868;0.1152;0.1926;0.1686;0.1613;0.1377;0.0632;0.1681;0.1431;0.2074;0.1426;0.1020;0.0946;0.1127;0.1544;0.1892;0.0645;0.0637;0.0441;0.0585;0.0839;0.0407;0.0538;0.0990;0.0733;0.0700;0.0633;0.0343;0.0791;0.0427;0.0933;0.0645;0.0470;0.0636;0.0576;0.0762;0.1298;0.549;0.544;0.641;0.514;0.510;0.548;0.557;0.458;0.555;0.538;0.523;0.450;0.510;0.678;0.520;0.505;0.558;0.332;0.483;0.476;0.298;0.049;0.028;0.000;0.030;0.029;0.000;0.000;0.007;0.005;0.009;0.029;0.081;0.023;0.000;0.002;0.002;0.021;0.078;0.038;0.044;0.005;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.2;  0.3;  0.3;  0.3;  0.2;  0.3;  0.3;  0.3;  0.3;  0.3;  0.2;  0.2;  0.2;  0.1;
10.05.23;16:21:53;3;21;0.0725;0.0696;0.0642;0.0657;0.0902;0.0441;0.0564;0.1118;0.0848;0.0794;0.0716;0.0363;0.0907;0.0701;0.1103;0.0770;0.0559;0.0549;0.0588;0.0873;0.1074;0.1436;0.1348;0.1025;0.1211;0.1691;0.0917;0.1103;0.1637;0.1598;0.1549;0.1373;0.0701;0.1451;0.1343;0.2010;0.1456;0.1044;0.0750;0.0980;0.1456;0.1431;0.0641;0.0625;0.0414;0.0580;0.0839;0.0418;0.0527;0.0907;0.0716;0.0688;0.0632;0.0362;0.0736;0.0419;0.0920;0.0651;0.0476;0.0541;0.0535;0.0740;0.1063;0.495;0.484;0.373;0.457;0.467;0.519;0.489;0.317;0.469;0.487;0.479;0.483;0.375;0.478;0.451;0.471;0.465;0.268;0.400;0.401;0.250;0.058;0.052;0.093;0.041;0.037;0.000;0.018;0.122;0.039;0.037;0.036;0.014;0.112;0.030;0.009;0.000;0.017;0.223;0.115;0.081;0.193;  5.2;  5.1;  3.9;  4.8;  4.9;  5.4;  5.1;  3.3;  4.9;  5.1;  5.0;  5.1;  3.9;  5.0;  4.7;  4.9;  4.9;  2.8;  4.2;  4.2;  2.6;
10.05.23;16:24:55;4;56;0.0775;0.0745;0.0740;0.0701;0.0975;0.0510;0.0598;0.1083;0.0882;0.0868;0.0770;0.0412;0.0877;0.0833;0.1147;0.0819;0.0564;0.0505;0.0632;0.0912;0.0961;0.1510;0.1431;0.1113;0.1240;0.1784;0.0922;0.1123;0.1613;0.1559;0.1676;0.1402;0.0696;0.1402;0.1279;0.2176;0.1539;0.1049;0.0613;0.1005;0.1578;0.1142;0.0655;0.0642;0.0428;0.0587;0.0861;0.0419;0.0531;0.0900;0.0708;0.0712;0.0638;0.0361;0.0723;0.0412;0.0954;0.0667;0.0477;0.0466;0.0542;0.0770;0.0895;0.487;0.479;0.335;0.435;0.453;0.447;0.467;0.328;0.434;0.482;0.451;0.408;0.374;0.349;0.473;0.468;0.463;0.176;0.371;0.422;0.159;0.037;0.013;0.050;0.014;0.004;0.000;0.012;0.127;0.056;0.000;0.012;0.014;0.127;0.065;0.000;0.000;0.016;0.354;0.107;0.034;0.344; 13.6; 13.4;  9.4; 12.2; 12.7; 12.5; 13.1;  9.2; 12.2; 13.5; 12.6; 11.4; 10.5;  9.8; 13.2; 13.1; 13.0;  4.9; 10.4; 11.8;  4.4;
10.05.23;16:27:58;5;111;0.0784;0.0809;0.0833;0.0745;0.1074;0.0500;0.0618;0.1103;0.0912;0.0902;0.0804;0.0387;0.0848;0.0985;0.1216;0.0863;0.0598;0.0510;0.0657;0.0917;0.0926;0.1534;0.1368;0.1034;0.1230;0.1716;0.0971;0.1127;0.1559;0.1520;0.1618;0.1382;0.0750;0.1206;0.1235;0.2093;0.1475;0.0990;0.0515;0.0971;0.1569;0.0975;0.0660;0.0629;0.0416;0.0585;0.0845;0.0429;0.0532;0.0883;0.0700;0.0701;0.0634;0.0375;0.0667;0.0408;0.0937;0.0655;0.0464;0.0407;0.0532;0.0768;0.0789;0.489;0.409;0.194;0.394;0.374;0.485;0.452;0.292;0.400;0.442;0.418;0.484;0.297;0.202;0.419;0.415;0.396;0.000;0.323;0.416;0.050;0.030;0.052;0.118;0.037;0.036;0.000;0.011;0.150;0.073;0.008;0.034;0.000;0.224;0.108;0.000;0.000;0.068;0.520;0.136;0.041;0.447; 27.1; 22.7; 10.8; 21.9; 20.8; 26.9; 25.1; 16.2; 22.2; 24.6; 23.2; 26.8; 16.5; 11.2; 23.3; 23.0; 22.0;  0.0; 17.9; 23.1;  2.8;
10.05.23;16:31:00;6;186;0.0789;0.0730;0.0833;0.0691;0.1025;0.0578;0.0608;0.1039;0.0843;0.0843;0.0770;0.0373;0.0814;0.1005;0.1167;0.0819;0.0593;0.0480;0.0598;0.0858;0.0843;0.1324;0.1225;0.0892;0.0980;0.1505;0.0971;0.0980;0.1333;0.1206;0.1333;0.1221;0.0637;0.0980;0.1186;0.1770;0.1299;0.0975;0.0485;0.0863;0.1387;0.0858;0.0618;0.0597;0.0391;0.0522;0.0790;0.0429;0.0497;0.0806;0.0625;0.0642;0.0598;0.0345;0.0592;0.0402;0.0866;0.0618;0.0461;0.0388;0.0498;0.0722;0.0710;0.404;0.404;0.066;0.295;0.319;0.404;0.380;0.221;0.301;0.368;0.369;0.415;0.170;0.153;0.341;0.370;0.392;0.000;0.307;0.382;0.000;0.113;0.112;0.191;0.181;0.115;0.000;0.106;0.255;0.209;0.128;0.107;0.080;0.369;0.143;0.098;0.062;0.076;0.547;0.201;0.110;0.557; 37.5; 37.6;  6.1; 27.4; 29.7; 37.6; 35.3; 20.5; 28.0; 34.2; 34.4; 38.6; 15.8; 14.2; 31.7; 34.4; 36.5;  0.0; 28.5; 35.5;  0.0;
10.05.23;16:34:03;7;281;0.0740;0.0686;0.0902;0.0657;0.0971;0.0559;0.0588;0.0907;0.0745;0.0760;0.0725;0.0353;0.0696;0.1015;0.1015;0.0730;0.0608;0.0480;0.0549;0.0775;0.0838;0.1137;0.1020;0.0917;0.0828;0.1348;0.0770;0.0868;0.1054;0.1000;0.1078;0.1010;0.0559;0.0814;0.1098;0.1417;0.1020;0.0824;0.0471;0.0711;0.1127;0.0809;0.0574;0.0544;0.0396;0.0475;0.0745;0.0384;0.0466;0.0694;0.0565;0.0576;0.0542;0.0320;0.0527;0.0391;0.0772;0.0546;0.0424;0.0379;0.0443;0.0645;0.0676;0.349;0.327;0.000;0.207;0.280;0.274;0.322;0.140;0.255;0.295;0.282;0.368;0.145;0.076;0.284;0.284;0.262;0.000;0.228;0.313;0.000;0.195;0.216;0.239;0.292;0.185;0.019;0.180;0.402;0.312;0.250;0.225;0.156;0.462;0.212;0.229;0.208;0.196;0.563;0.320;0.225;0.583; 49.1; 45.9;  0.0; 29.1; 39.3; 38.5; 45.2; 19.6; 35.8; 41.5; 39.6; 51.8; 20.3; 10.7; 39.9; 39.9; 36.8;  0.0; 32.0; 44.0;  0.0;
10.05.23;16:37:05;8;336;0.0750;0.0647;0.0897;0.0632;0.0931;0.0505;0.0574;0.0794;0.0711;0.0701;0.0691;0.0426;0.0618;0.0956;0.0897;0.0681;0.0574;0.0480;0.0520;0.0750;0.0824;0.1029;0.0907;0.0912;0.0784;0.1225;0.0745;0.0794;0.0926;0.0843;0.0887;0.0912;0.0603;0.0716;0.0980;0.1172;0.0887;0.0755;0.0431;0.0706;0.0956;0.0760;0.0545;0.0510;0.0395;0.0460;0.0706;0.0378;0.0444;0.0637;0.0511;0.0517;0.0513;0.0334;0.0484;0.0375;0.0693;0.0506;0.0405;0.0353;0.0441;0.0585;0.0642;0.271;0.286;0.000;0.194;0.240;0.322;0.278;0.143;0.157;0.210;0.242;0.293;0.137;0.000;0.234;0.232;0.240;0.000;0.264;0.215;0.000;0.268;0.283;0.248;0.325;0.248;0.077;0.237;0.457;0.432;0.370;0.288;0.133;0.512;0.313;0.336;0.292;0.248;0.598;0.309;0.337;0.608; 45.6; 48.1;  0.0; 32.6; 40.3; 54.2; 46.7; 24.0; 26.4; 35.3; 40.6; 49.2; 23.0;  0.0; 39.4; 39.0; 40.4;  0.0; 44.3; 36.2;  0.0;
10.05.23;16:40:08;9;396;0.0735;0.0627;0.0848;0.0613;0.0941;0.0515;0.0569;0.0765;0.0657;0.0637;0.0657;0.0436;0.0574;0.0873;0.0848;0.0667;0.0564;0.0495;0.0510;0.0691;0.0819;0.0990;0.0804;0.0819;0.0706;0.1167;0.0676;0.0750;0.0824;0.0765;0.0750;0.0868;0.0520;0.0647;0.0877;0.1064;0.0824;0.0725;0.0475;0.0623;0.0897;0.0775;0.0534;0.0476;0.0376;0.0432;0.0686;0.0360;0.0430;0.0586;0.0481;0.0467;0.0498;0.0307;0.0451;0.0359;0.0654;0.0485;0.0396;0.0382;0.0407;0.0562;0.0652;0.257;0.220;0.000;0.132;0.193;0.239;0.242;0.071;0.141;0.150;0.243;0.160;0.114;0.000;0.203;0.190;0.223;0.000;0.181;0.230;0.000;0.290;0.365;0.320;0.402;0.287;0.152;0.278;0.514;0.478;0.468;0.310;0.250;0.519;0.386;0.390;0.344;0.271;0.557;0.400;0.360;0.601; 51.0; 43.5;  0.0; 26.1; 38.3; 47.3; 47.9; 14.1; 27.9; 29.8; 48.1; 31.8; 22.5;  0.0; 40.1; 37.7; 44.1;  0.0; 35.9; 45.4;  0.0;
10.05.23;16:43:10;10;461;0.0706;0.0564;0.0833;0.0574;0.0873;0.0480;0.0549;0.0706;0.0534;0.0549;0.0627;0.0377;0.0525;0.0789;0.0789;0.0598;0.0529;0.0505;0.0490;0.0686;0.0833;0.0922;0.0691;0.0814;0.0647;0.1078;0.0627;0.0667;0.0770;0.0647;0.0667;0.0809;0.0554;0.0525;0.0804;0.0946;0.0740;0.0613;0.0436;0.0544;0.0868;0.0770;0.0513;0.0434;0.0375;0.0409;0.0654;0.0345;0.0401;0.0558;0.0432;0.0433;0.0478;0.0319;0.0388;0.0346;0.0607;0.0455;0.0360;0.0356;0.0372;0.0550;0.0649;0.234;0.184;0.000;0.114;0.191;0.234;0.176;0.083;0.174;0.176;0.224;0.319;0.000;0.000;0.166;0.192;0.136;0.000;0.099;0.209;0.000;0.333;0.441;0.327;0.395;0.326;0.196;0.358;0.530;0.516;0.495;0.349;0.169;0.703;0.435;0.456;0.392;0.392;0.593;0.454;0.383;0.603; 53.9; 42.5;  0.0; 26.2; 44.0; 54.0; 40.7; 19.1; 40.2; 40.7; 51.7; 73.4;  0.0;  0.0; 38.2; 44.3; 31.3;  0.0; 22.8; 48.2;  0.0;
10.05.23;16:46:13;11;531;0.0667;0.0564;0.0843;0.0544;0.0863;0.0451;0.0525;0.0686;0.0544;0.0529;0.0603;0.0397;0.0480;0.0725;0.0696;0.0574;0.0505;0.0466;0.0466;0.0647;0.0779;0.0784;0.0623;0.0858;0.0593;0.0951;0.0569;0.0613;0.0667;0.0559;0.0593;0.0696;0.0451;0.0490;0.0721;0.0750;0.0608;0.0559;0.0451;0.0495;0.0750;0.0740;0.0468;0.0406;0.0384;0.0387;0.0605;0.0327;0.0381;0.0502;0.0390;0.0401;0.0437;0.0282;0.0369;0.0330;0.0520;0.0401;0.0341;0.0366;0.0349;0.0501;0.0628;0.150;0.094;0.000;0.083;0.093;0.207;0.144;0.000;0.000;0.107;0.134;0.120;0.000;0.000;0.072;0.000;0.096;0.000;0.000;0.137;0.000;0.442;0.491;0.290;0.464;0.432;0.259;0.411;0.664;0.676;0.538;0.457;0.272;0.723;0.493;0.569;0.577;0.404;0.580;0.593;0.477;0.618; 39.8; 25.1;  0.0; 21.9; 24.6; 54.9; 38.2;  0.0;  0.0; 28.5; 35.5; 31.7;  0.0;  0.0; 19.1;  0.0; 25.6;  0.0;  0.0; 36.4;  0.0;
