Angle - Synchr.,2θ,normalized I - 1 polyp no heating,normalized I - 1 polyp after heating
5.932,26.00774212,0.608066511,0.551521165
5.934,26.01665657,0.605521721,0.554422533
5.936,26.02557118,0.609544554,0.557479165
5.938,26.03448595,0.610981527,0.557083941
5.94,26.04340086,0.614654102,0.556577717
5.942,26.05231593,0.614453323,0.560434332
5.944,26.06123115,0.617277161,0.562105257
5.946,26.07014652,0.616981561,0.566404333
5.948,26.07906205,0.622988449,0.569366021
5.95,26.08797772,0.631329507,0.568975282
5.952,26.09689355,0.63511075,0.574242445
5.954,26.10580953,0.637427249,0.578433022
5.956,26.11472567,0.646362762,0.585557195
5.958,26.12364196,0.65475104,0.596662742
5.96,26.1325584,0.667945844,0.60034362
5.962,26.14147499,0.679324354,0.613295437
5.964,26.15039174,0.700291211,0.619115815
5.966,26.15930864,0.726917599,0.637412475
5.968,26.16822569,0.755191216,0.64876999
5.97,26.1771429,0.784268604,0.664112716
5.972,26.18606026,0.803233762,0.678558367
5.974,26.19497777,0.794751198,0.691101414
5.976,26.20389544,0.764904903,0.699387178
5.978,26.21281326,0.731975462,0.706618783
5.98,26.22173123,0.702762074,0.702515768
5.982,26.23064935,0.682756948,0.693248358
5.984,26.23956763,0.667739417,0.681658952
5.986,26.24848607,0.65507415,0.664596966
5.988,26.25740466,0.647243764,0.647416901
5.99,26.2663234,0.63928965,0.632732994
5.992,26.27524229,0.633605537,0.618255509
5.994,26.28416134,0.62967342,0.608971112
5.996,26.29308054,0.626095995,0.599079706
5.998,26.3019999,0.621786097,0.592027568
6,26.31091941,0.616059849,0.584911713
6.002,26.31983907,0.616683381,0.577673367
6.004,26.32875889,0.612159965,0.571473202
6.006,26.33767887,0.612495898,0.570938509
6.008,26.34659899,0.606550711,0.564001317
6.01,26.35551928,0.608200516,0.561060241
6.012,26.36443971,0.606111137,0.563100736
6.014,26.3733603,0.606598831,0.554947171
6.016,26.38228105,0.602136085,0.557665808
6.018,26.39120195,0.603436878,0.552571691
6.02,26.400123,0.601111037,0.554517194
