Angle - Synchr.,2θ,normalized I - 10 polyps no heating,normalized I - 10 polyps after heating
6.624,29.10163793,0.615642624,0.637508156
6.626,29.11060864,0.615211593,0.644085642
6.628,29.11957953,0.615357347,0.643449021
6.63,29.12855059,0.620538411,0.639345389
6.632,29.13752183,0.62046678,0.644281978
6.634,29.14649323,0.622173979,0.652997517
6.636,29.15546481,0.625042639,0.64789284
6.638,29.16443657,0.633061692,0.645682345
6.64,29.17340849,0.627146207,0.650338241
6.642,29.1823806,0.624340888,0.65184275
6.644,29.19135287,0.618484785,0.65261758
6.646,29.20032532,0.615557361,0.655735968
6.648,29.20929794,0.613251305,0.654555621
6.65,29.21827074,0.610582657,0.657637347
6.652,29.22724371,0.616627482,0.668898676
6.654,29.23621686,0.611154,0.668383974
6.656,29.24519018,0.608711882,0.669792101
6.658,29.25416367,0.608416265,0.684627056
6.66,29.26313734,0.608453087,0.697650493
6.662,29.27211118,0.612766311,0.701662868
6.664,29.2810852,0.603904226,0.716197903
6.666,29.29005939,0.601588206,0.7307419
6.668,29.29903375,0.603375775,0.748833298
6.67,29.30800829,0.609008665,0.76905042
6.672,29.31698301,0.60471685,0.794921013
6.674,29.3259579,0.609358029,0.821421511
6.676,29.33493296,0.604882792,0.853590691
6.678,29.3439082,0.607012857,0.887658292
6.68,29.35288362,0.609086049,0.921603243
6.682,29.36185921,0.609219002,0.949276754
6.684,29.37083497,0.608167896,0.978672183
6.686,29.37981091,0.604541148,0.996630883
6.688,29.38878702,0.609582591,1
6.69,29.39776331,0.60911785,0.997579067
6.692,29.40673978,0.607252213,0.988277208
6.694,29.41571642,0.599685217,0.96602954
6.696,29.42469323,0.606688768,0.940021013
6.698,29.43367023,0.602014525,0.915628409
6.7,29.44264739,0.60781869,0.886066027
6.702,29.45162473,0.610699196,0.859686393
6.704,29.46060225,0.607265013,0.829132182
6.706,29.46957995,0.599540623,0.803630922
6.708,29.47855782,0.605736295,0.781144771
6.71,29.48753586,0.605078421,0.76154822
6.712,29.49651408,0.600601967,0.740109324
6.714,29.50549248,0.604558141,0.722218653
6.716,29.51447105,0.609665465,0.714896648
6.718,29.5234498,0.598519618,0.699149893
6.72,29.53242873,0.60263179,0.692641648
6.722,29.54140783,0.607829913,0.6804585
6.724,29.55038711,0.608522792,0.673124734
6.726,29.55936657,0.607297171,0.669597908
6.728,29.5683462,0.603349248,0.666648497
6.73,29.577326,0.606424154,0.66491472
6.732,29.58630599,0.605180242,0.663098882
6.734,29.59528615,0.604539043,0.652459026
6.736,29.60426649,0.606219142,0.651356255
6.738,29.613247,0.60417704,0.648135414
6.74,29.62222769,0.601437609,0.642937166
6.742,29.63120856,0.601299373,0.649742355
6.744,29.64018961,0.605466296,0.636143528
6.746,29.64917083,0.602551444,0.64877659
6.748,29.65815223,0.60477793,0.641164102
6.75,29.6671338,0.610658804,0.643416149
6.752,29.67611556,0.603601298,0.640875999
6.754,29.68509749,0.600082002,0.64167986
6.756,29.69407959,0.600879899,0.641210333
6.758,29.70306188,0.595807485,0.643380502
