Picture-ID,Polyp_number ,Corallite_Diameter,Primary_septa_number ,Primary_septa,Secondary_septa_number ,Secondary_septa,Tertiary_septa_number ,Tertiary_septa,Columella
Stylophora_1_polyp_021,1,510.84,PSepta_polyp1_1,67.295,SSepta_polyp1_1,48.83,TSepta_polyp1_1,NA,261.018
Stylophora_1_polyp_021,1,525.744,PSepta_polyp1_1,62.28,SSepta_polyp1_1,36.581,TSepta_polyp1_1,NA,272.797
Stylophora_1_polyp_021,1,538.484,PSepta_polyp1_1,59.776,SSepta_polyp1_1,28.817,TSepta_polyp1_1,NA,263.142
Stylophora_1_polyp_021,1,487.226,PSepta_polyp1_1,58.306,SSepta_polyp1_1,29.488,TSepta_polyp1_1,NA,NA
Stylophora_1_polyp_021,1,517.833,PSepta_polyp1_1,60.672,SSepta_polyp1_1,30.481,TSepta_polyp1_1,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_2,52.825,SSepta_polyp1_2,30.416,TSepta_polyp1_2,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_2,31.562,SSepta_polyp1_2,30.481,TSepta_polyp1_2,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_2,53.318,SSepta_polyp1_2,30.068,TSepta_polyp1_2,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_2,64.691,SSepta_polyp1_2,28.524,TSepta_polyp1_2,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_2,46.324,SSepta_polyp1_2,35.015,TSepta_polyp1_2,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_3,37.21,SSepta_polyp1_3,31.666,TSepta_polyp1_3,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_3,36.27,SSepta_polyp1_3,43.391,TSepta_polyp1_3,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_3,33.738,SSepta_polyp1_3,41.71,TSepta_polyp1_3,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_3,85.604,SSepta_polyp1_3,50.26,TSepta_polyp1_3,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_3,63.085,SSepta_polyp1_3,42.738,TSepta_polyp1_3,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_4,60.921,SSepta_polyp1_4,30.046,TSepta_polyp1_4,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_4,48.749,SSepta_polyp1_4,23.393,TSepta_polyp1_4,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_4,51.068,SSepta_polyp1_4,20.031,TSepta_polyp1_4,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_4,17.507,SSepta_polyp1_4,20.557,TSepta_polyp1_4,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_4,27.842,SSepta_polyp1_4,34.188,TSepta_polyp1_4,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_5,36.903,SSepta_polyp1_5,27.196,TSepta_polyp1_5,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_5,56.959,SSepta_polyp1_5,29.76,TSepta_polyp1_5,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_5,56.554,SSepta_polyp1_5,33.913,TSepta_polyp1_5,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_5,40.16,SSepta_polyp1_5,26.311,TSepta_polyp1_5,NA,NA
Stylophora_1_polyp_021,1,NA,PSepta_polyp1_5,37.491,SSepta_polyp1_5,25.037,TSepta_polyp1_5,NA,NA
Stylophora_3_polyp_007,3,722.602,PSepta_polyp3_1,150.226,SSepta_polyp3_1,74.38,TSepta_polyp3_1,27.583,110.317
Stylophora_3_polyp_007,3,667.896,PSepta_polyp3_1,132.711,SSepta_polyp3_1,52.949,TSepta_polyp3_1,25.725,180.879
