Date/Time;Oxygen;Amp;Tm [°C];p [mbar];Salinity [g/1000g];Error;Oxygen unit
3/6/2023 23:40:39;207.38;22112;23;979;39;0;7
3/6/2023 23:40:54;202.48;22187;23;979;39;0;7
3/6/2023 23:41:09;197.61;22169;23;979;39;0;7
3/6/2023 23:41:24;196.96;22090;23;979;39;0;7
3/6/2023 23:41:39;195.99;22048;23;979;39;0;7
3/6/2023 23:41:55;195.34;22173;23;979;39;0;7
3/6/2023 23:42:10;194.7;22136;23;979;39;0;7
3/6/2023 23:42:25;194.7;22097;23;979;39;0;7
3/6/2023 23:42:40;194.7;22119;23;979;39;0;7
3/6/2023 23:42:55;193.73;22120;23;979;39;0;7
3/6/2023 23:43:10;193.73;22219;23;979;39;0;7
3/6/2023 23:43:25;193.41;22035;23;979;39;0;7
3/6/2023 23:43:40;193.09;22094;23;979;39;0;7
3/6/2023 23:43:56;193.41;22069;23;979;39;0;7
3/6/2023 23:44:11;192.12;22106;23;979;39;0;7
3/6/2023 23:44:26;192.77;22772;23;979;39;0;7
3/6/2023 23:44:41;192.44;22114;23;979;39;0;7
3/6/2023 23:44:56;193.41;22097;23;979;39;0;7
3/6/2023 23:45:11;194.05;22097;23;979;39;0;7
3/6/2023 23:45:26;193.09;22095;23;979;39;0;7
3/6/2023 23:45:41;192.12;22064;23;979;39;0;7
3/6/2023 23:45:56;191.48;22146;23;979;39;0;7
3/6/2023 23:46:11;191.48;22152;23;979;39;0;7
3/6/2023 23:46:27;191.48;22163;23;979;39;0;7
3/6/2023 23:46:42;189.56;22155;23;979;39;0;7
3/6/2023 23:46:57;188.92;22088;23;979;39;0;7
3/6/2023 23:47:12;187.96;22199;23;979;39;0;7
3/6/2023 23:47:27;185.73;22299;23;979;39;0;7
3/6/2023 23:47:42;185.41;22245;23;979;39;0;7
3/6/2023 23:47:57;183.5;22325;23;979;39;0;7
3/6/2023 23:48:12;183.82;22348;23;979;39;0;7
3/6/2023 23:48:27;182.55;22320;23;979;39;0;7
3/6/2023 23:48:42;181.28;22332;23;979;39;0;7
3/6/2023 23:48:57;180.65;22395;23;979;39;0;7
3/6/2023 23:49:12;180.33;22310;23;979;39;0;7
3/6/2023 23:49:28;180.65;22372;23;979;39;0;7
3/6/2023 23:49:43;179.7;22373;23;979;39;0;7
3/6/2023 23:49:58;179.07;22367;23;979;39;0;7
3/6/2023 23:50:13;179.07;22350;23;979;39;0;7
3/6/2023 23:50:28;178.12;22402;23;979;39;0;7
3/6/2023 23:50:43;177.81;22382;23;979;39;0;7
3/6/2023 23:50:58;176.55;22437;23;979;39;0;7
3/6/2023 23:51:13;176.55;22445;23;979;39;0;7
3/6/2023 23:51:28;175.92;22426;23;979;39;0;7
3/6/2023 23:51:43;175.92;22386;23;979;39;0;7
3/6/2023 23:51:58;175.29;22474;23;979;39;0;7
3/6/2023 23:52:13;174.66;22423;23;979;39;0;7
3/6/2023 23:52:29;174.04;22497;23;979;39;0;7
3/6/2023 23:52:44;173.72;22492;23;979;39;0;7
3/6/2023 23:52:59;174.98;22457;23;979;39;0;7
3/6/2023 23:53:14;174.35;22543;23;979;39;0;7
3/6/2023 23:53:29;169.97;22454;23;979;39;0;7
3/6/2023 23:53:44;169.97;22477;23;979;39;0;7
3/6/2023 23:53:59;168.42;22515;23;979;39;0;7
3/6/2023 23:54:14;167.17;22550;23;979;39;0;7
3/6/2023 23:54:29;167.48;22481;23;979;39;0;7
3/6/2023 23:54:44;166.55;22496;23;979;39;0;7
3/6/2023 23:54:59;167.48;22444;23;979;39;0;7
3/6/2023 23:55:15;168.11;22461;23;979;39;0;7
3/6/2023 23:55:30;167.17;22519;23;979;39;0;7
3/6/2023 23:55:45;178.75;22623;23;979;39;0;7
3/6/2023 23:56:00;176.55;22675;23;979;39;0;7
3/6/2023 23:56:15;175.92;22545;23;979;39;0;7
3/6/2023 23:56:30;170.29;22480;23;979;39;0;7
3/6/2023 23:56:45;167.8;22507;23;979;39;0;7
3/6/2023 23:57:00;166.24;22459;23;979;39;0;7
3/6/2023 23:57:15;166.24;22445;23;979;39;0;7
3/6/2023 23:57:30;167.8;22512;23;979;39;0;7
3/6/2023 23:57:45;163.77;22527;23;979;39;0;7
3/6/2023 23:58:00;164.08;22518;23;979;39;0;7
3/6/2023 23:58:16;162.53;22476;23;979;39;0;7
3/6/2023 23:58:31;162.84;22567;23;979;39;0;7
3/6/2023 23:58:46;163.15;22458;23;979;39;0;7
3/6/2023 23:59:01;163.15;22487;23;979;39;0;7
3/6/2023 23:59:16;163.46;22464;23;979;39;0;7
3/6/2023 23:59:31;163.46;22467;23;979;39;0;7
3/6/2023 23:59:46;164.08;22506;23;979;39;0;7
3/7/2023 0:00:01;165;22452;23;979;39;0;7
3/7/2023 0:00:16;164.7;22443;23;979;39;0;7
3/7/2023 0:00:31;178.12;22603;23;979;39;0;7
3/7/2023 0:00:46;176.55;22553;23;979;39;0;7
3/7/2023 0:01:01;176.86;22542;23;979;39;0;7
3/7/2023 0:01:17;177.49;22638;23;979;39;0;7
3/7/2023 0:01:32;178.44;22600;23;979;39;0;7
3/7/2023 0:01:47;173.72;22589;23;979;39;0;7
3/7/2023 0:02:02;168.73;22515;23;979;39;0;7
3/7/2023 0:02:17;171.22;22545;23;979;39;0;7
3/7/2023 0:02:32;164.08;22469;23;979;39;0;7
3/7/2023 0:02:47;178.12;22654;23;979;39;0;7
3/7/2023 0:03:02;179.38;22741;23;979;39;0;7
3/7/2023 0:03:17;172.47;22652;23;979;39;0;7
3/7/2023 0:03:32;169.66;22565;23;979;39;0;7
3/7/2023 0:03:47;160.07;22526;23;979;39;0;7
3/7/2023 0:04:02;159.15;22572;23;979;39;0;7
3/7/2023 0:04:18;156.7;22596;23;979;39;0;7
3/7/2023 0:04:33;154.56;22572;23;979;39;0;7
3/7/2023 0:04:48;152.12;22616;23;979;39;0;7
3/7/2023 0:05:03;151.51;22611;23;979;39;0;7
3/7/2023 0:05:18;150.9;22646;23;979;39;0;7
