Date/Time;Oxygen;Amp;Tm [°C];p [mbar];Salinity [g/1000g];Error;Oxygen unit
3/6/2023 23:40:39;215.3;26849;23;979;39;0;7
3/6/2023 23:40:54;214.97;26843;23;979;39;0;7
3/6/2023 23:41:09;214.97;26843;23;979;39;0;7
3/6/2023 23:41:24;215.3;26838;23;979;39;0;7
3/6/2023 23:41:39;215.63;26846;23;979;39;0;7
3/6/2023 23:41:55;214.97;26838;23;979;39;0;7
3/6/2023 23:42:10;214.64;26855;23;979;39;0;7
3/6/2023 23:42:25;214.64;26846;23;979;39;0;7
3/6/2023 23:42:40;214.97;26838;23;979;39;0;7
3/6/2023 23:42:55;215.63;26838;23;979;39;0;7
3/6/2023 23:43:10;214.64;26843;23;979;39;0;7
3/6/2023 23:43:25;214.97;26846;23;979;39;0;7
3/6/2023 23:43:40;214.31;26846;23;979;39;0;7
3/6/2023 23:43:56;214.97;26849;23;979;39;0;7
3/6/2023 23:44:11;214.97;26841;23;979;39;0;7
3/6/2023 23:44:26;215.63;26835;23;979;39;0;7
3/6/2023 23:44:41;214.64;26846;23;979;39;0;7
3/6/2023 23:44:56;214.64;26843;23;979;39;0;7
3/6/2023 23:45:11;215.3;26846;23;979;39;0;7
3/6/2023 23:45:26;215.3;26855;23;979;39;0;7
3/6/2023 23:45:41;215.3;26855;23;979;39;0;7
3/6/2023 23:45:56;214.31;26846;23;979;39;0;7
3/6/2023 23:46:11;214.64;26843;23;979;39;0;7
3/6/2023 23:46:27;214.97;26841;23;979;39;0;7
3/6/2023 23:46:42;214.64;26846;23;979;39;0;7
3/6/2023 23:46:57;214.64;26849;23;979;39;0;7
3/6/2023 23:47:12;213.98;26843;23;979;39;0;7
3/6/2023 23:47:27;214.31;26849;23;979;39;0;7
3/6/2023 23:47:42;213.98;26863;23;979;39;0;7
3/6/2023 23:47:57;213.31;26866;23;979;39;0;7
3/6/2023 23:48:12;213.31;26869;23;979;39;0;7
3/6/2023 23:48:27;212.98;26866;23;979;39;0;7
3/6/2023 23:48:42;212.65;26869;23;979;39;0;7
3/6/2023 23:48:57;212.65;26869;23;979;39;0;7
3/6/2023 23:49:12;212.98;26883;23;979;39;0;7
3/6/2023 23:49:28;213.65;26872;23;979;39;0;7
3/6/2023 23:49:43;212.32;26883;23;979;39;0;7
3/6/2023 23:49:58;212.65;26891;23;979;39;0;7
3/6/2023 23:50:13;212.98;26883;23;979;39;0;7
3/6/2023 23:50:28;212.65;26877;23;979;39;0;7
3/6/2023 23:50:43;211.99;26888;23;979;39;0;7
3/6/2023 23:50:58;212.65;26888;23;979;39;0;7
3/6/2023 23:51:13;212.32;26883;23;979;39;0;7
3/6/2023 23:51:28;212.32;26883;23;979;39;0;7
3/6/2023 23:51:43;211.99;26888;23;979;39;0;7
3/6/2023 23:51:58;211.33;26900;23;979;39;0;7
3/6/2023 23:52:13;211.33;26900;23;979;39;0;7
3/6/2023 23:52:29;211;26905;23;979;39;0;7
3/6/2023 23:52:44;210.01;26905;23;979;39;0;7
3/6/2023 23:52:59;210.34;26928;23;979;39;0;7
3/6/2023 23:53:14;209.35;26925;23;979;39;0;7
3/6/2023 23:53:29;209.35;26928;23;979;39;0;7
3/6/2023 23:53:44;208.37;26933;23;979;39;0;7
3/6/2023 23:53:59;208.7;26948;23;979;39;0;7
3/6/2023 23:54:14;208.37;26950;23;979;39;0;7
3/6/2023 23:54:29;207.38;26956;23;979;39;0;7
3/6/2023 23:54:44;207.71;26965;23;979;39;0;7
3/6/2023 23:54:59;206.73;26962;23;979;39;0;7
3/6/2023 23:55:15;206.73;26967;23;979;39;0;7
3/6/2023 23:55:30;206.07;26973;23;979;39;0;7
3/6/2023 23:55:45;206.07;26976;23;979;39;0;7
3/6/2023 23:56:00;206.07;26979;23;979;39;0;7
3/6/2023 23:56:15;206.07;26981;23;979;39;0;7
3/6/2023 23:56:30;205.42;26984;23;979;39;0;7
3/6/2023 23:56:45;205.09;26996;23;979;39;0;7
3/6/2023 23:57:00;204.44;26993;23;979;39;0;7
3/6/2023 23:57:15;203.78;26996;23;979;39;0;7
3/6/2023 23:57:30;204.44;26996;23;979;39;0;7
3/6/2023 23:57:45;204.11;26996;23;979;39;0;7
3/6/2023 23:58:00;204.11;27007;23;979;39;0;7
3/6/2023 23:58:16;203.78;27004;23;979;39;0;7
3/6/2023 23:58:31;203.78;26998;23;979;39;0;7
3/6/2023 23:58:46;203.13;27001;23;979;39;0;7
3/6/2023 23:59:01;203.78;27013;23;979;39;0;7
3/6/2023 23:59:16;202.8;27013;23;979;39;0;7
