Date/Time;Oxygen;Amp;Tm [°C];p [mbar];Salinity [g/1000g];Error;Oxygen unit
3/6/2023 23:40:39;213.98;38876;23;979;39;0;7
3/6/2023 23:40:54;213.31;38849;23;979;39;0;7
3/6/2023 23:41:09;210.01;38804;23;979;39;0;7
3/6/2023 23:41:24;205.09;38706;23;979;39;0;7
3/6/2023 23:41:39;202.8;38698;23;979;39;0;7
3/6/2023 23:41:55;201.83;38694;23;979;39;0;7
3/6/2023 23:42:10;203.46;38787;23;979;39;0;7
3/6/2023 23:42:25;201.18;38681;23;979;39;0;7
3/6/2023 23:42:40;200.53;38714;23;979;39;0;7
3/6/2023 23:42:55;199.55;38725;23;979;39;0;7
3/6/2023 23:43:10;199.88;38738;23;979;39;0;7
3/6/2023 23:43:25;199.55;38751;23;979;39;0;7
3/6/2023 23:43:40;198.25;38736;23;979;39;0;7
3/6/2023 23:43:56;199.23;38758;23;979;39;0;7
3/6/2023 23:44:11;198.9;38763;23;979;39;0;7
3/6/2023 23:44:26;198.9;38758;23;979;39;0;7
3/6/2023 23:44:41;198.25;38784;23;979;39;0;7
3/6/2023 23:44:56;198.25;38762;23;979;39;0;7
3/6/2023 23:45:11;197.93;38751;23;979;39;0;7
3/6/2023 23:45:26;198.25;38788;23;979;39;0;7
3/6/2023 23:45:41;197.61;38892;23;979;39;0;7
3/6/2023 23:45:56;198.58;38750;23;979;39;0;7
3/6/2023 23:46:11;198.25;38782;23;979;39;0;7
3/6/2023 23:46:27;197.93;38780;23;979;39;0;7
3/6/2023 23:46:42;197.61;38917;23;979;39;0;7
3/6/2023 23:46:57;197.61;38889;23;979;39;0;7
3/6/2023 23:47:12;197.61;37703;23;979;39;0;7
3/6/2023 23:47:27;197.61;37714;23;979;39;0;7
3/6/2023 23:47:42;197.93;37689;23;979;39;0;7
3/6/2023 23:47:57;197.28;37758;23;979;39;0;7
3/6/2023 23:48:12;196.96;37784;23;979;39;0;7
3/6/2023 23:48:27;196.96;37745;23;979;39;0;7
3/6/2023 23:48:42;196.64;38848;23;979;39;0;7
3/6/2023 23:48:57;197.28;37722;23;979;39;0;7
3/6/2023 23:49:12;196.96;37764;23;979;39;0;7
3/6/2023 23:49:28;196.96;38800;23;979;39;0;7
3/6/2023 23:49:43;199.88;37778;23;979;39;0;7
3/6/2023 23:49:58;199.88;37930;23;979;39;0;7
3/6/2023 23:50:13;199.23;39056;23;979;39;0;7
3/6/2023 23:50:28;197.28;39143;23;979;39;0;7
3/6/2023 23:50:43;195.34;39010;23;979;39;0;7
3/6/2023 23:50:58;193.73;37989;23;979;39;0;7
3/6/2023 23:51:13;192.12;37976;23;979;39;0;7
3/6/2023 23:51:28;191.48;38144;23;979;39;0;7
3/6/2023 23:51:43;190.2;37968;23;979;39;0;7
3/6/2023 23:51:58;189.24;38041;23;979;39;0;7
3/6/2023 23:52:13;184.45;37993;23;979;39;0;7
3/6/2023 23:52:29;184.77;37910;23;979;39;0;7
3/6/2023 23:52:44;187;37976;23;979;39;0;7
3/6/2023 23:52:59;187;37982;23;979;39;0;7
3/6/2023 23:53:14;186.68;38019;23;979;39;0;7
3/6/2023 23:53:29;184.14;37963;23;979;39;0;7
3/6/2023 23:53:44;183.82;39072;23;979;39;0;7
3/6/2023 23:53:59;184.45;39077;23;979;39;0;7
3/6/2023 23:54:14;184.77;39020;23;979;39;0;7
3/6/2023 23:54:29;183.82;39073;23;979;39;0;7
3/6/2023 23:54:44;184.14;39083;23;979;39;0;7
3/6/2023 23:54:59;184.77;39025;23;979;39;0;7
3/6/2023 23:55:15;184.14;39038;23;979;39;0;7
3/6/2023 23:55:30;184.14;39080;23;979;39;0;7
3/6/2023 23:55:45;184.14;37919;23;979;39;0;7
3/6/2023 23:56:00;183.5;37892;23;979;39;0;7
3/6/2023 23:56:15;184.14;37968;23;979;39;0;7
3/6/2023 23:56:30;183.82;37966;23;979;39;0;7
3/6/2023 23:56:45;183.5;38043;23;979;39;0;7
3/6/2023 23:57:00;183.5;37921;23;979;39;0;7
3/6/2023 23:57:15;184.14;37971;23;979;39;0;7
3/6/2023 23:57:30;184.14;37993;23;979;39;0;7
3/6/2023 23:57:45;184.14;38024;23;979;39;0;7
3/6/2023 23:58:00;184.45;37968;23;979;39;0;7
3/6/2023 23:58:16;184.14;37988;23;979;39;0;7
3/6/2023 23:58:31;184.45;37970;23;979;39;0;7
3/6/2023 23:58:46;183.82;37999;23;979;39;0;7
3/6/2023 23:59:01;184.77;37965;23;979;39;0;7
3/6/2023 23:59:16;183.82;37960;23;979;39;0;7
3/6/2023 23:59:31;184.14;37966;23;979;39;0;7
3/6/2023 23:59:46;184.45;39039;23;979;39;0;7
3/7/2023 0:00:01;184.45;39074;23;979;39;0;7
3/7/2023 0:00:16;184.14;39058;23;979;39;0;7
3/7/2023 0:00:31;184.77;39059;23;979;39;0;7
3/7/2023 0:00:46;183.82;39076;23;979;39;0;7
3/7/2023 0:01:01;183.82;38007;23;979;39;0;7
3/7/2023 0:01:17;183.5;38018;23;979;39;0;7
3/7/2023 0:01:32;183.18;38044;23;979;39;0;7
3/7/2023 0:01:47;182.87;38020;23;979;39;0;7
3/7/2023 0:02:02;183.5;38030;23;979;39;0;7
3/7/2023 0:02:17;182.87;38000;23;979;39;0;7
3/7/2023 0:02:32;182.55;38061;23;979;39;0;7
3/7/2023 0:02:47;182.55;38064;23;979;39;0;7
3/7/2023 0:03:02;181.91;38031;23;979;39;0;7
3/7/2023 0:03:17;182.23;39097;23;979;39;0;7
3/7/2023 0:03:32;182.23;37998;23;979;39;0;7
3/7/2023 0:03:47;181.6;38017;23;979;39;0;7
3/7/2023 0:04:02;182.55;38036;23;979;39;0;7
3/7/2023 0:04:18;181.91;39223;23;979;39;0;7
3/7/2023 0:04:33;181.28;38035;23;979;39;0;7
3/7/2023 0:04:48;185.41;38233;23;979;39;0;7
3/7/2023 0:05:03;184.14;38165;23;979;39;0;7
3/7/2023 0:05:18;183.5;38089;23;979;39;0;7
3/7/2023 0:05:33;183.82;38207;23;979;39;0;7
3/7/2023 0:05:48;182.55;38257;23;979;39;0;7
3/7/2023 0:06:03;180.96;38253;23;979;39;0;7
3/7/2023 0:06:18;180.96;38299;23;979;39;0;7
3/7/2023 0:06:34;180.33;38326;23;979;39;0;7
3/7/2023 0:06:49;180.96;38464;23;979;39;0;7
3/7/2023 0:07:04;174.35;38207;23;979;39;0;7
3/7/2023 0:07:19;174.35;38319;23;979;39;0;7
3/7/2023 0:07:34;173.1;38235;23;979;39;0;7
3/7/2023 0:07:49;173.41;38235;23;979;39;0;7
3/7/2023 0:08:04;172.47;38243;23;979;39;0;7
3/7/2023 0:08:19;172.78;38254;23;979;39;0;7
3/7/2023 0:08:35;171.85;38310;23;979;39;0;7
3/7/2023 0:08:50;171.85;38213;23;979;39;0;7
3/7/2023 0:09:05;171.53;38363;23;979;39;0;7
3/7/2023 0:09:20;171.22;38311;23;979;39;0;7
3/7/2023 0:09:35;171.53;38277;23;979;39;0;7
3/7/2023 0:09:50;170.91;38218;23;979;39;0;7
3/7/2023 0:10:05;170.91;38259;23;979;39;0;7
3/7/2023 0:10:20;170.29;38286;23;979;39;0;7
3/7/2023 0:10:35;170.6;38320;23;979;39;0;7
3/7/2023 0:10:50;169.04;38366;23;979;39;0;7
3/7/2023 0:11:06;168.11;38432;23;979;39;0;7
3/7/2023 0:11:21;167.17;38440;23;979;39;0;7
3/7/2023 0:11:36;166.24;38408;23;979;39;0;7
3/7/2023 0:11:51;165.62;38432;23;979;39;0;7
3/7/2023 0:12:06;165;38443;23;979;39;0;7
3/7/2023 0:12:21;163.46;38458;23;979;39;0;7
3/7/2023 0:12:36;163.15;38479;23;979;39;0;7
3/7/2023 0:12:51;162.84;38471;23;979;39;0;7
3/7/2023 0:13:06;162.23;38524;23;979;39;0;7
3/7/2023 0:13:22;162.23;38511;23;979;39;0;7
3/7/2023 0:13:37;161.92;38512;23;979;39;0;7
3/7/2023 0:13:52;161.3;38542;23;979;39;0;7
