Date/Time;Oxygen;Amp;Tm [°C];p [mbar];Salinity [g/1000g];Error;Oxygen unit
3/6/2023 23:40:39;205.75;31415;23;979;39;0;7
3/6/2023 23:40:54;204.76;31485;23;979;39;0;7
3/6/2023 23:41:09;204.11;31466;23;979;39;0;7
3/6/2023 23:41:24;203.78;31525;23;979;39;0;7
3/6/2023 23:41:39;203.46;31488;23;979;39;0;7
3/6/2023 23:41:55;202.15;31480;23;979;39;0;7
3/6/2023 23:42:10;201.83;31548;23;979;39;0;7
3/6/2023 23:42:25;204.44;31601;23;979;39;0;7
3/6/2023 23:42:40;202.15;31626;23;979;39;0;7
3/6/2023 23:42:55;199.55;31559;23;979;39;0;7
3/6/2023 23:43:10;197.93;31553;23;979;39;0;7
3/6/2023 23:43:25;197.28;31578;23;979;39;0;7
3/6/2023 23:43:40;195.67;31624;23;979;39;0;7
3/6/2023 23:43:56;196.31;31618;23;979;39;0;7
3/6/2023 23:44:11;195.34;31588;23;979;39;0;7
3/6/2023 23:44:26;195.02;31625;23;979;39;0;7
3/6/2023 23:44:41;194.7;31608;23;979;39;0;7
3/6/2023 23:44:56;194.38;31567;23;979;39;0;7
3/6/2023 23:45:11;194.05;31625;23;979;39;0;7
3/6/2023 23:45:26;194.05;31605;23;979;39;0;7
3/6/2023 23:45:41;193.73;31699;23;979;39;0;7
3/6/2023 23:45:56;192.77;31670;23;979;39;0;7
3/6/2023 23:46:11;193.41;31632;23;979;39;0;7
3/6/2023 23:46:27;193.09;31621;23;979;39;0;7
3/6/2023 23:46:42;192.12;31677;23;979;39;0;7
3/6/2023 23:46:57;192.77;31710;23;979;39;0;7
3/6/2023 23:47:12;196.31;31777;23;979;39;0;7
3/6/2023 23:47:27;196.96;31867;23;979;39;0;7
3/6/2023 23:47:42;197.93;31877;23;979;39;0;7
3/6/2023 23:47:57;195.99;31912;23;979;39;0;7
3/6/2023 23:48:12;194.05;31833;23;979;39;0;7
3/6/2023 23:48:27;192.12;31937;23;979;39;0;7
3/6/2023 23:48:42;190.84;31809;23;979;39;0;7
3/6/2023 23:48:57;189.24;31827;23;979;39;0;7
3/6/2023 23:49:12;187.32;31796;23;979;39;0;7
3/6/2023 23:49:28;186.68;31852;23;979;39;0;7
3/6/2023 23:49:43;186.04;31810;23;979;39;0;7
3/6/2023 23:49:58;185.73;31840;23;979;39;0;7
3/6/2023 23:50:13;184.14;31943;23;979;39;0;7
3/6/2023 23:50:28;183.82;31981;23;979;39;0;7
3/6/2023 23:50:43;184.14;31880;23;979;39;0;7
3/6/2023 23:50:58;183.18;32005;23;979;39;0;7
3/6/2023 23:51:13;182.23;31974;23;979;39;0;7
3/6/2023 23:51:28;181.91;32034;23;979;39;0;7
3/6/2023 23:51:43;181.28;31910;23;979;39;0;7
3/6/2023 23:51:58;179.07;31909;23;979;39;0;7
3/6/2023 23:52:13;179.07;31950;23;979;39;0;7
3/6/2023 23:52:29;178.12;31906;23;979;39;0;7
3/6/2023 23:52:44;177.81;31895;23;979;39;0;7
3/6/2023 23:52:59;177.81;31964;23;979;39;0;7
3/6/2023 23:53:14;176.86;31925;23;979;39;0;7
3/6/2023 23:53:29;178.44;31980;23;979;39;0;7
3/6/2023 23:53:44;177.49;32050;23;979;39;0;7
3/6/2023 23:53:59;177.81;31976;23;979;39;0;7
3/6/2023 23:54:14;175.92;32032;23;979;39;0;7
3/6/2023 23:54:29;174.98;32062;23;979;39;0;7
3/6/2023 23:54:44;173.1;32015;23;979;39;0;7
3/6/2023 23:54:59;172.47;32059;23;979;39;0;7
3/6/2023 23:55:15;172.16;32023;23;979;39;0;7
3/6/2023 23:55:30;171.85;32089;23;979;39;0;7
3/6/2023 23:55:45;172.16;32034;23;979;39;0;7
3/6/2023 23:56:00;172.16;32060;23;979;39;0;7
3/6/2023 23:56:15;173.72;32090;23;979;39;0;7
3/6/2023 23:56:30;173.72;32156;23;979;39;0;7
3/6/2023 23:56:45;173.1;32219;23;979;39;0;7
3/6/2023 23:57:00;170.6;32147;23;979;39;0;7
3/6/2023 23:57:15;166.55;32162;23;979;39;0;7
3/6/2023 23:57:30;167.48;32166;23;979;39;0;7
3/6/2023 23:57:45;167.17;32123;23;979;39;0;7
3/6/2023 23:58:00;167.8;32154;23;979;39;0;7
3/6/2023 23:58:16;167.48;32166;23;979;39;0;7
3/6/2023 23:58:31;168.42;32137;23;979;39;0;7
3/6/2023 23:58:46;169.66;32151;23;979;39;0;7
3/6/2023 23:59:01;170.91;32198;23;979;39;0;7
3/6/2023 23:59:16;166.55;32133;23;979;39;0;7
3/6/2023 23:59:31;166.86;32239;23;979;39;0;7
3/6/2023 23:59:46;166.24;32283;23;979;39;0;7
