Measurement Name :,Meas-710,,Generated On :,"11/05/2023, 12:22:51",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION

Serial number     : SEBX0007000710      

MUX channel       : ON - 02


PARAMETERS

Sig LED current   : 040

Ref LED current   : 075

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m02:RDY",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"07/03/2023, 01:36:16",,,,,,Batch No.:  ,SV-PSt5-1651-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"07/03/2023, 01:50:46",,,,,,O2_cal0 [°],54.9,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.66,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.7,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],979,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
07.03.23 01:36:18,0.03,216.3,156.08,215.63,250.63,165,163.46,150.6,150.6,191.48,197.93,170.29,183.18,154.86,179.38,172.78,156.39,123.8,178.44,146.97,128.2,172.78,187.64,228.69,133.81,,23,979,39,26,
07.03.23 01:36:34,0.3,215.3,156.7,215.63,250.63,164.39,162.53,150.6,150.3,191.48,198.25,170.6,182.55,154.56,179.38,172.47,156.08,123.8,178.75,146.97,128.49,172.47,187.96,229.36,133.51,,23,979,39,25.99,
07.03.23 01:36:49,0.55,213.31,156.08,214.31,249.59,163.77,161.3,150.3,148.48,190.84,197.93,169.35,182.23,154.56,179.07,172.47,154.86,122.93,179.38,146.67,127.32,172.16,188.28,229.7,133.51,,23,979,39,25.99,
07.03.23 01:37:04,0.8,212.32,155.78,214.31,248.89,163.46,161.92,149.69,148.18,190.84,197.93,169.04,182.23,154.56,178.44,172.78,154.86,122.63,179.7,146.37,127.02,172.78,188.6,229.7,132.92,,23,979,39,25.99,
07.03.23 01:37:19,1.05,211,154.86,213.64,247.85,162.84,160.68,148.18,146.97,190.52,197.93,168.11,181.6,153.95,178.12,172.78,154.25,122.34,178.75,146.37,126.14,171.85,188.28,229.7,132.33,,23,979,39,25.98,
07.03.23 01:37:34,1.3,211,154.56,212.65,247.5,160.99,159.45,147.88,146.67,190.52,197.28,167.49,181.6,153.95,177.18,172.47,153.34,121.18,178.44,146.37,125.56,171.53,187.96,230.04,132.03,,23,979,39,25.98,
07.03.23 01:37:49,1.55,210.34,153.64,212.65,247.16,161.3,158.53,147.57,146.07,189.56,197.61,168.42,181.6,153.64,177.18,172.16,153.34,120.59,178.12,145.76,125.56,171.53,188.92,230.04,131.44,,23,979,39,25.99,
