Measurement Name :,Meas-710,,Generated On :,"10/05/2023, 16:15:52",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"10/05/2023, 15:58:24",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"10/05/2023, 16:15:24",,,,,,O2_cal0 [°],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
10.05.23 15:58:26,0.03,206.39,202.8,162.27,231.35,165.98,208.36,162.89,205.41,163.51,224.28,225.62,166.91,148.55,159.81,168.46,129.76,224.61,123.6,201.5,192.45,205.41,128,149.76,206.39,,23,965,39,22.55,
10.05.23 15:58:41,0.28,205.41,201.82,160.12,231.01,164.74,207.7,161.96,204.1,161.96,223.61,225.28,165.05,147.04,158.59,167.22,128.29,224.28,122.15,199.88,190.85,204.43,126.53,147.94,204.76,,23,965,39,22.54,
10.05.23 15:58:56,0.53,205.08,202.15,158.89,231.01,163.51,206.72,160.73,202.47,160.73,222.94,224.95,163.51,145.83,157.97,165.67,126.82,223.94,121.27,199.55,189.25,204.43,125.36,145.83,203.45,,23,965,39,22.54,
10.05.23 15:59:11,0.78,203.78,201.17,157.36,230.67,162.58,206.06,159.51,201.5,159.81,222.94,224.61,161.35,144.33,157.06,164.43,125.07,223.61,119.82,198.9,187.66,203.78,123.6,144.03,202.15,,23,965,39,22.54,
10.05.23 15:59:26,1.03,203.78,200.52,156.14,230.34,161.66,204.76,157.97,199.55,158.59,222.27,224.61,159.51,143.73,155.83,162.58,123.6,223.61,118.66,197.93,186.38,202.8,122.15,142.53,201.5,,23,965,39,22.54,
10.05.23 15:59:41,1.28,202.8,200.2,155.53,230,160.12,204.76,157.36,198.58,157.06,221.93,224.61,158.59,142.23,154.92,161.66,123.02,223.27,117.79,197.29,185.11,202.15,121.56,141.33,200.52,,23,965,39,22.54,
10.05.23 15:59:56,1.53,202.15,199.55,154.01,230,159.2,203.13,156.45,197.61,156.14,221.27,224.28,156.75,141.33,153.4,160.12,121.27,222.6,116.35,195.99,183.2,201.5,120.69,139.54,198.9,,23,965,39,22.54,
10.05.23 16:00:11,1.78,201.82,198.9,153.4,229.32,158.89,203.13,155.22,196.64,155.53,220.6,224.28,155.22,140.14,153.09,159.2,120.4,222.6,115.77,195.99,181.94,201.17,119.82,138.35,198.26,,23,965,39,22.54,
10.05.23 16:00:26,2.03,200.85,198.58,151.88,229.66,158.28,202.47,154.31,195.35,154.62,220.93,223.94,154.31,139.24,152.18,157.97,119.82,222.27,114.33,195.35,180.67,200.52,118.66,136.86,196.96,,23,965,39,22.52,
10.05.23 16:00:41,2.28,200.2,197.93,150.66,229.66,157.67,201.82,153.7,195.03,153.4,219.93,223.94,153.09,138.05,152.18,157.06,118.95,222.27,113.75,194.38,179.73,200.2,118.08,135.37,195.99,,23,965,39,22.52,
10.05.23 16:00:56,2.53,199.55,197.29,149.45,229.32,156.45,200.85,152.18,194.06,152.18,219.6,223.94,151.57,137.16,150.66,155.53,117.79,221.6,112.89,193.74,178.15,199.88,116.92,133.89,194.71,,23,965,39,22.5,
10.05.23 16:01:11,2.78,198.9,196.64,148.55,229.32,155.53,200.52,151.57,193.1,151.57,219.6,224.28,150.97,135.97,149.45,154.92,117.5,222.27,112.03,193.42,176.89,199.55,116.06,132.41,194.06,,23,965,39,22.5,
10.05.23 16:01:26,3.03,198.26,196.32,147.34,229.66,154.92,199.23,150.36,192.13,150.36,218.93,223.61,149.76,135.08,149.15,154.31,116.06,220.93,111.16,192.78,175.64,198.26,115.19,131.53,192.45,,23,965,39,22.5,
10.05.23 16:01:41,3.28,197.29,195.67,146.43,228.99,153.7,199.23,150.06,190.85,149.76,218.27,223.27,148.24,133.6,148.24,152.79,114.61,220.6,110.02,191.49,174.07,197.61,114.33,130.35,191.81,,23,965,39,22.5,
10.05.23 16:01:56,3.53,196.96,195.35,146.43,229.32,153.4,198.26,148.85,190.53,149.15,218.6,223.94,147.34,133.6,147.34,152.49,114.04,221.27,109.73,191.49,173.13,197.29,113.75,129.47,190.85,,23,965,39,22.5,
10.05.23 16:02:11,3.78,196.32,195.03,145.53,229.66,152.79,197.93,148.24,189.57,148.24,217.93,223.27,146.74,133,147.04,151.57,113.46,220.93,109.16,190.53,172.19,197.29,113.46,128.29,189.57,,23,965,39,22.5,
10.05.23 16:02:26,4.03,195.67,193.74,144.93,229.66,152.18,197.29,147.64,188.29,147.34,217.6,223.27,145.83,131.82,146.43,150.06,112.89,220.93,108.02,190.21,170.32,195.99,112.6,127.41,188.93,,23,965,39,22.5,
10.05.23 16:02:41,4.28,195.35,194.06,143.73,228.99,151.57,197.29,146.74,187.97,146.43,216.94,223.61,144.93,130.94,145.53,149.76,112.31,220.6,107.73,189.25,169.7,195.99,111.74,126.53,187.34,,23,965,39,22.48,
10.05.23 16:02:56,4.53,195.03,193.1,142.83,228.99,150.66,196.32,145.53,187.02,145.23,216.94,222.94,143.43,130.05,144.93,148.85,111.16,220.6,106.87,188.61,168.46,195.03,111.16,125.36,186.06,,23,965,39,22.48,
10.05.23 16:03:11,4.78,194.06,193.1,142.23,228.99,150.36,196.32,145.23,186.06,144.93,216.61,222.94,142.83,129.76,144.33,147.94,111.16,220.6,106.59,187.66,167.22,194.71,110.59,124.77,185.43,,23,965,39,22.48,
10.05.23 16:03:26,5.03,194.06,193.42,141.93,229.66,149.15,195.35,144.33,185.11,144.33,216.94,223.27,142.23,129.17,143.73,147.64,109.73,220.6,105.45,187.66,165.98,194.71,109.73,123.9,184.16,,23,965,39,22.48,
10.05.23 16:03:41,5.28,192.78,192.78,141.03,228.65,149.45,194.38,143.43,183.84,142.83,215.61,222.94,141.03,128,143.13,146.74,109.16,219.93,104.6,186.38,164.43,193.42,108.87,122.73,183.2,,23,965,39,22.48,
10.05.23 16:03:56,5.53,192.45,191.49,140.14,228.65,148.55,194.06,141.93,182.57,142.23,215.28,221.93,139.84,127.7,142.23,145.53,108.02,219.93,104.03,185.74,163.51,192.78,108.3,121.86,181.62,,23,965,39,22.48,
10.05.23 16:04:11,5.78,192.13,191.49,139.24,228.99,147.94,193.42,141.63,182.25,141.33,214.62,222.6,138.94,126.53,141.63,144.93,108.02,219.93,103.46,185.11,162.27,192.45,107.73,120.98,180.99,,23,965,39,22.48,
10.05.23 16:04:26,6.03,191.49,190.53,138.64,227.97,147.64,193.1,141.63,181.62,141.03,214.62,222.27,137.45,126.24,141.03,144.03,107.45,219.6,102.89,184.47,160.73,191.81,107.16,119.82,179.73,,23,965,39,22.48,
10.05.23 16:04:41,6.28,190.85,191.17,137.45,228.31,147.34,191.81,140.73,180.36,139.84,214.29,222.94,137.16,125.36,140.14,143.73,106.59,219.26,102.33,183.52,159.81,191.17,106.87,119.53,178.78,,23,965,39,22.48,
10.05.23 16:04:56,6.53,190.85,190.85,137.75,228.31,146.43,191.81,139.84,179.73,138.94,213.62,222.6,136.26,125.36,139.54,143.13,106.3,219.26,101.76,182.89,158.89,190.53,106.3,118.37,177.52,,23,965,39,22.48,
10.05.23 16:05:11,6.78,190.21,190.53,136.86,227.97,146.43,191.81,139.54,178.78,138.94,214.29,222.27,136.26,124.19,138.94,141.93,105.74,219.93,101.48,182.57,157.97,190.53,105.74,118.08,176.58,,23,965,39,22.47,
10.05.23 16:05:26,7.03,189.89,189.57,135.97,228.31,145.23,190.53,138.94,177.84,138.05,212.96,222.6,135.08,123.6,138.35,141.63,104.6,219.26,100.63,181.94,156.45,189.57,105.17,116.92,175.01,,23,965,39,22.47,
10.05.23 16:05:41,7.28,188.93,189.57,135.67,228.31,144.93,189.89,137.75,176.89,137.16,212.96,222.27,134.19,122.73,138.05,140.73,104.03,219.6,100.06,181.62,155.22,188.93,104.6,116.35,174.7,,23,965,39,22.47,
10.05.23 16:05:56,7.53,188.93,189.57,135.08,227.97,144.03,189.89,137.75,175.95,136.86,212.63,222.27,133.3,122.44,137.45,140.43,103.75,219.6,99.22,180.67,154.31,188.29,104.31,116.06,173.44,,23,965,39,22.47,
10.05.23 16:06:11,7.78,187.66,188.93,134.19,227.64,144.03,188.93,136.56,175.32,135.97,211.97,221.93,132.41,121.86,137.16,139.54,102.61,218.93,98.65,180.04,153.09,187.97,103.46,115.19,171.88,,23,965,39,22.48,
10.05.23 16:06:26,8.03,187.34,187.97,133.3,227.97,143.13,188.29,136.26,174.07,135.08,211.97,221.93,131.53,120.4,136.26,138.35,102.33,218.93,98.09,179.1,151.88,186.7,103.18,114.33,170.64,,23,965,39,22.47,
10.05.23 16:06:41,8.28,187.34,188.29,133.3,227.97,143.43,188.29,135.67,173.76,134.48,211.97,221.93,131.23,120.11,135.67,138.64,102.33,218.93,97.81,179.1,150.66,186.7,102.61,114.33,170.32,,23,965,39,22.48,
10.05.23 16:06:56,8.53,187.34,188.29,132.71,227.3,142.83,188.29,135.08,173.13,133.89,211.32,221.93,130.64,119.53,135.37,137.75,101.76,219.26,97.81,177.84,150.36,186.06,102.33,113.17,169.08,,23,965,39,22.47,
10.05.23 16:07:11,8.78,186.7,187.02,132.41,227.64,142.23,187.34,134.78,171.88,133.3,210.99,221.6,129.76,118.95,134.48,137.16,100.91,218.6,96.97,177.52,148.55,185.43,101.76,112.31,168.15,,23,965,39,22.47,
10.05.23 16:07:26,9.03,186.06,187.66,132.12,227.3,141.93,187.34,134.19,170.95,132.71,211.32,221.6,128.88,118.37,134.48,136.56,100.63,218.27,96.12,177.21,147.64,184.47,101.2,112.31,166.6,,23,965,39,22.48,
10.05.23 16:07:41,9.28,185.74,187.34,131.23,227.64,141.63,187.02,134.19,170.64,131.82,210.33,221.6,128.29,117.79,133.6,136.56,100.35,218.27,96.12,176.26,146.74,184.47,100.91,111.16,165.98,,23,965,39,22.47,
10.05.23 16:07:56,9.53,185.43,186.38,130.94,227.97,140.73,186.7,133.3,170.01,131.23,210,222.27,127.7,116.92,133.3,135.67,99.5,218.6,95.56,176.26,145.83,184.16,100.63,110.88,164.74,,23,965,39,22.47,
10.05.23 16:08:11,9.78,185.11,186.38,130.64,227.64,140.73,186.06,133,169.39,130.35,210,221.93,127.12,116.63,132.71,134.78,98.94,218.6,95.28,174.7,144.63,183.2,100.06,110.59,163.51,,23,965,39,22.47,
10.05.23 16:08:26,10.03,184.47,186.06,129.76,227.3,140.14,185.74,132.12,168.46,130.05,209.67,221.93,126.24,116.35,132.41,134.48,98.37,218.6,94.44,174.38,143.43,182.57,100.06,109.73,162.58,,23,965,39,22.48,
10.05.23 16:08:41,10.28,184.16,186.06,129.47,226.96,139.24,185.11,131.82,166.91,129.76,209.01,221.6,125.65,115.19,131.53,134.19,98.37,218.27,93.88,174.07,142.53,181.62,98.94,109.16,161.35,,23,965,39,22.47,
10.05.23 16:08:56,10.53,184.16,186.06,128.58,226.96,139.24,184.47,131.23,166.29,128.29,208.68,221.6,125.07,114.61,131.53,133.6,97.25,218.27,93.32,173.13,141.63,181.62,98.94,108.59,160.43,,23,965,39,22.48,
10.05.23 16:09:11,10.78,183.2,184.79,128.29,226.96,138.94,184.47,130.64,165.98,128,208.36,221.93,124.48,114.61,130.94,133,96.97,217.93,93.04,172.19,140.14,180.99,97.81,108.02,159.51,,23,965,39,22.48,
10.05.23 16:09:26,11.03,183.2,185.43,127.7,227.3,138.94,184.16,130.05,165.36,127.7,208.68,221.93,124.19,114.04,130.35,132.71,96.68,218.27,92.76,172.19,139.84,180.67,98.09,108.02,158.59,,23,965,39,22.47,
10.05.23 16:09:41,11.28,182.25,184.79,127.12,226.96,138.64,183.84,129.76,164.43,126.82,208.36,221.93,122.73,113.46,129.76,132.12,96.4,217.93,92.2,171.57,138.94,179.41,97.81,106.59,157.36,,23,965,39,22.48,
10.05.23 16:09:56,11.53,181.62,184.47,126.53,226.29,137.45,182.89,128.88,163.81,126.24,207.7,221.6,122.15,112.89,129.47,131.53,95.84,217.6,91.92,170.32,137.75,179.1,96.97,106.59,156.14,,23,965,39,22.48,
10.05.23 16:10:11,11.78,181.94,184.16,125.94,226.96,137.45,182.89,128.58,162.89,125.36,207.7,221.93,122.15,112.6,128.88,130.94,95.28,217.93,91.36,170.32,136.86,178.47,96.68,106.3,155.53,,23,965,39,22.48,
10.05.23 16:10:26,12.03,181.62,183.84,125.65,226.29,137.45,182.25,128,161.96,124.77,206.72,221.27,120.98,112.03,128.29,130.35,94.72,217.27,90.81,169.7,135.97,177.52,96.4,105.17,153.7,,23,965,39,22.48,
10.05.23 16:10:41,12.28,180.99,182.89,125.07,225.95,136.56,181.94,127.41,161.04,124.19,207.05,221.27,120.98,111.16,127.7,129.76,94.44,217.6,89.97,168.77,134.78,177.84,95.84,104.6,153.09,,23,965,39,22.48,
10.05.23 16:10:56,12.53,180.67,183.84,125.07,226.96,136.26,181.3,126.24,160.73,123.9,206.72,221.6,120.11,110.59,127.7,129.47,94.16,217.93,90.25,168.46,134.48,176.89,95.84,104.6,152.18,,23,965,39,22.48,
10.05.23 16:11:11,12.78,180.36,183.2,124.77,226.96,135.97,180.99,126.24,160.12,122.73,206.39,221.6,119.53,109.73,127.12,129.17,93.6,217.27,89.97,167.84,133,176.26,95.28,104.31,151.27,,23,965,39,22.48,
10.05.23 16:11:26,13.03,179.73,182.89,124.19,226.63,135.67,180.67,125.65,159.51,122.44,206.06,221.27,119.24,109.45,126.82,128,93.32,217.27,89.14,167.53,132.12,175.64,95,103.75,150.36,,23,965,39,22.5,
10.05.23 16:11:41,13.28,179.41,182.89,123.9,226.29,135.08,180.04,125.36,158.28,121.56,205.74,221.27,118.66,108.87,126.24,128,93.04,217.6,88.86,167.22,131.82,175.32,94.72,102.89,148.55,,23,965,39,22.5,
10.05.23 16:11:56,13.53,179.1,181.94,123.02,226.63,135.08,179.73,124.48,157.97,120.69,205.08,221.27,117.79,108.3,125.65,127.7,92.76,217.6,88.58,165.98,130.64,174.7,94.44,102.61,148.24,,23,965,39,22.5,
10.05.23 16:12:11,13.78,178.47,182.25,123.31,226.29,134.48,179.73,124.77,157.06,120.69,205.41,220.93,117.21,108.3,125.36,126.82,91.92,217.27,88.02,165.98,129.76,174.07,94.16,102.04,146.74,,23,965,39,22.5,
10.05.23 16:12:26,14.03,177.84,181.94,123.02,226.29,134.48,179.1,124.19,156.45,119.82,205.08,221.27,117.21,107.45,124.77,126.82,91.64,217.6,87.75,164.74,129.17,173.44,93.88,101.76,145.83,,23,965,39,22.5,
10.05.23 16:12:41,14.28,177.52,181.62,121.86,225.62,133.89,179.1,123.02,155.83,119.24,204.43,220.6,115.77,107.16,124.48,126.24,91.08,217.6,86.91,164.43,128,173.13,93.6,101.2,144.63,,23,965,39,22.5,
10.05.23 16:12:56,14.53,177.52,181.62,121.56,225.95,133.89,178.78,123.02,155.53,118.37,205.08,221.6,115.48,106.87,123.9,125.94,91.08,216.94,86.91,163.51,127.12,172.19,92.76,101.2,143.43,,23,965,39,22.5,
10.05.23 16:13:11,14.78,176.89,181.62,120.98,225.95,133.3,178.15,123.02,154.92,117.5,204.76,221.27,115.19,106.3,123.9,125.94,90.81,216.94,86.64,163.51,126.53,172.19,92.76,100.35,142.83,,23,965,39,22.5,
10.05.23 16:13:26,15.03,176.26,181.3,121.27,226.29,133.3,178.47,121.86,154.31,116.92,203.78,221.27,114.9,105.74,123.31,125.07,90.25,217.6,86.08,162.89,126.24,171.57,92.48,100.35,141.93,,23,965,39,22.53,
10.05.23 16:13:41,15.28,175.95,180.36,120.4,225.95,133,177.21,122.15,153.4,116.06,204.1,220.93,113.75,105.45,122.44,124.77,89.69,216.94,85.53,162.27,124.77,170.64,92.2,99.22,140.43,,23,965,39,22.5,
10.05.23 16:13:56,15.53,175.32,180.36,119.82,225.28,132.41,176.89,121.27,152.49,115.48,203.78,220.6,113.75,104.6,122.15,124.19,89.41,216.94,85.25,161.66,124.48,170.01,91.92,98.65,139.24,,23,965,39,22.52,
10.05.23 16:14:11,15.78,174.38,179.41,119.53,225.95,131.82,176.26,120.4,151.27,114.61,202.8,220.6,112.89,104.03,121.56,123.6,88.58,216.61,84.7,160.73,123.02,169.08,91.36,98.37,138.05,,23,965,39,22.53,
10.05.23 16:14:26,16.03,174.07,180.04,118.95,226.29,131.53,176.26,120.4,151.27,113.75,203.13,220.93,112.03,103.75,121.27,123.6,88.58,216.61,84.15,160.43,122.15,169.08,91.08,98.09,137.45,,23,965,39,22.53,
10.05.23 16:14:41,16.28,173.76,180.04,118.66,226.29,130.94,175.64,120.11,150.36,113.46,202.8,220.93,111.74,103.18,120.69,123.02,88.02,216.94,83.87,159.81,121.27,168.15,90.53,97.25,135.97,,23,965,39,22.53,
10.05.23 16:14:56,16.53,173.44,179.73,118.37,225.28,131.23,175.32,119.82,150.06,112.31,202.47,220.6,110.88,102.89,120.69,122.44,87.47,216.61,83.6,159.2,120.4,167.84,90.53,96.68,134.78,,23,965,39,22.54,
10.05.23 16:15:11,16.78,172.82,179.1,118.08,225.28,130.35,174.7,118.66,149.15,111.74,202.47,220.6,110.59,102.33,120.11,122.15,87.19,216.27,83.87,158.59,119.53,167.22,89.97,96.4,133.89,,23,965,39,22.54,
