Measurement Name :,20230510_Plate5_Meas-710,,Generated On :,"10/05/2023, 17:52:35",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"10/05/2023, 17:34:33",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"10/05/2023, 17:52:03",,,,,,O2_cal0 [°],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
10.05.23 17:34:35,0.03,97.81,127.7,196.64,183.84,127.7,126.82,162.27,189.25,169.08,119.82,139.84,187.66,145.83,175.32,171.57,120.4,100.35,160.73,177.21,165.98,175.95,132.12,188.93,193.1,,23,965,39,22.3,
10.05.23 17:34:50,0.28,95.56,125.36,195.67,182.25,126.24,123.9,159.2,187.66,168.15,117.79,138.05,186.38,145.23,174.07,170.64,118.37,97.25,160.43,176.26,163.81,175.01,128.88,187.66,192.78,,23,965,39,22.36,
10.05.23 17:35:05,0.53,92.76,123.6,194.71,180.36,125.07,121.27,157.67,186.7,167.53,115.77,134.78,184.16,144.33,174.07,169.39,116.06,95,159.51,175.01,162.58,174.07,125.94,186.7,193.1,,23,965,39,22.39,
10.05.23 17:35:20,0.78,90.81,122.44,194.71,179.1,123.6,119.24,156.14,184.79,166.6,113.46,133,183.2,143.13,173.13,167.84,114.04,92.2,158.89,174.07,160.73,172.82,123.31,186.06,192.78,,23,965,39,22.39,
10.05.23 17:35:35,1.03,88.58,121.56,194.38,178.78,121.86,116.35,154.01,184.16,165.36,112.03,131.53,182.25,142.23,172.51,166.29,111.74,89.69,158.59,172.82,159.2,172.19,120.4,184.79,192.13,,23,965,39,22.41,
10.05.23 17:35:50,1.28,86.91,119.82,194.06,177.84,121.56,114.04,152.79,183.2,165.98,110.02,129.76,181.3,141.63,172.51,166.6,110.59,87.75,158.28,172.19,158.28,171.57,118.37,184.79,192.13,,23,965,39,22.41,
10.05.23 17:36:05,1.53,84.98,117.79,194.06,175.64,119.82,111.16,150.66,181.3,164.12,108.87,127.7,179.73,140.73,170.95,164.74,108.87,84.98,157.06,170.32,156.14,169.7,115.48,182.89,191.81,,23,965,39,22.41,
10.05.23 17:36:20,1.78,83.6,117.5,194.06,175.64,118.95,109.73,149.76,180.99,164.43,107.16,126.53,179.41,139.84,170.95,164.12,108.3,83.6,157.36,169.7,155.83,169.7,113.75,182.89,192.45,,23,965,39,22.43,
10.05.23 17:36:35,2.03,81.67,116.35,194.06,174.38,117.79,106.87,147.94,179.73,163.2,105.45,124.48,177.21,138.94,169.39,162.89,106.3,81.12,156.75,169.08,154.62,167.84,111.45,181.94,191.81,,23,965,39,22.41,
10.05.23 17:36:50,2.28,80.84,114.33,193.42,173.44,117.79,105.17,146.74,178.78,162.89,104.03,123.02,176.89,138.64,169.7,161.96,104.88,79.19,155.83,167.22,153.7,167.22,109.73,180.67,191.17,,23,965,39,22.41,
10.05.23 17:37:05,2.53,79.74,113.46,192.45,172.51,116.63,102.61,145.23,178.15,162.27,102.33,120.98,176.26,138.05,169.08,161.04,104.31,77.82,154.92,166.91,152.49,166.29,107.73,180.36,191.81,,23,965,39,22.41,
10.05.23 17:37:20,2.78,78.37,112.6,192.78,171.57,115.19,101.2,143.43,176.58,161.96,100.91,119.82,174.7,137.16,168.46,160.12,102.61,76.18,155.22,165.98,151.88,165.36,105.74,179.73,191.81,,23,965,39,22.41,
10.05.23 17:37:35,3.03,77,111.74,192.13,170.32,114.61,98.94,142.23,175.95,161.04,98.65,116.92,172.82,136.26,167.53,159.2,101.48,74.27,154.01,164.43,149.76,164.43,103.46,178.47,191.17,,23,965,39,22.43,
10.05.23 17:37:50,3.28,75.64,110.3,192.45,169.7,113.75,97.81,141.33,175.01,160.73,98.09,116.06,172.51,135.97,167.84,158.28,100.35,72.64,154.01,162.89,149.15,163.2,101.76,178.47,190.85,,23,965,39,22.41,
10.05.23 17:38:05,3.53,75.36,109.73,191.81,169.08,113.17,95.56,140.14,174.7,160.73,96.68,114.04,170.95,135.37,166.91,157.36,100.06,71.56,153.7,162.27,147.94,162.58,100.06,178.15,190.85,,23,965,39,22.43,
10.05.23 17:38:20,3.78,74.55,109.16,192.45,168.77,112.6,94.72,138.94,174.07,160.73,95.56,112.89,170.95,134.78,166.29,157.36,98.94,70.74,153.09,161.96,147.64,161.66,98.94,177.84,191.49,,23,965,39,22.43,
10.05.23 17:38:35,4.03,73.46,108.87,191.81,168.77,111.74,92.76,137.75,172.82,159.51,94.16,110.59,170.01,134.19,166.6,155.53,98.65,68.85,153.4,160.12,146.43,160.73,96.97,176.89,191.49,,23,965,39,22.43,
10.05.23 17:38:50,4.28,72.64,107.16,191.81,166.6,110.88,91.08,136.26,172.19,158.59,92.48,109.45,168.15,133.3,165.67,154.92,97.53,66.96,152.49,159.51,145.23,159.81,95.56,175.32,190.85,,23,965,39,22.43,
10.05.23 17:39:05,4.53,71.83,106.87,192.13,166.29,110.3,89.69,135.67,172.51,159.51,91.08,108.3,168.15,133.3,165.98,154.92,96.97,66.96,152.49,158.28,144.63,159.2,94.72,175.32,191.17,,23,965,39,22.43,
10.05.23 17:39:20,4.78,70.74,106.3,191.81,165.36,109.73,87.75,134.19,170.64,158.28,89.69,105.74,166.6,131.82,165.05,152.79,96.12,64.8,151.27,157.36,143.13,157.36,92.48,174.07,190.53,,23,965,39,22.43,
10.05.23 17:39:35,5.03,69.66,105.45,191.49,165.36,109.16,86.64,133,170.32,158.59,88.86,104.03,166.29,131.82,165.05,152.18,95.56,63.73,151.27,156.14,142.23,157.06,91.36,173.44,190.85,,23,965,39,22.43,
10.05.23 17:39:50,5.28,69.12,104.88,191.81,164.74,108.87,84.98,132.12,169.7,157.36,87.75,102.61,165.36,131.23,164.12,151.57,95.28,62.12,151.27,155.53,141.63,156.14,89.41,173.13,190.85,,23,965,39,22.43,
10.05.23 17:40:05,5.53,68.31,103.75,192.13,163.81,108.02,83.6,131.53,168.46,157.97,86.08,100.91,164.12,131.23,164.43,150.97,94.44,61.32,150.97,154.62,140.73,155.22,88.86,172.82,191.17,,23,965,39,22.43,
10.05.23 17:40:20,5.78,67.77,103.18,191.81,163.51,107.45,82.22,129.76,168.15,157.06,84.42,99.22,163.81,130.05,163.51,149.45,93.88,60.25,150.97,153.09,140.43,154.31,87.19,171.88,190.85,,23,965,39,22.43,
10.05.23 17:40:35,6.03,66.69,102.33,190.85,162.58,106.3,80.84,129.47,167.53,157.36,83.32,97.25,161.96,129.76,163.81,149.45,93.6,58.65,150.06,153.4,139.24,153.7,85.81,171.26,190.85,,23,965,39,22.43,
10.05.23 17:40:50,6.28,66.69,102.04,191.49,161.66,106.87,79.74,128,166.91,156.75,82.49,96.4,161.66,129.47,162.58,148.24,92.76,58.12,150.06,151.88,138.94,152.49,84.7,170.95,190.85,,23,965,39,22.43,
10.05.23 17:41:05,6.53,66.15,101.48,191.17,161.66,106.02,78.65,126.82,166.91,156.45,81.39,94.72,160.73,129.17,162.89,147.94,92.2,57.85,149.76,151.27,138.64,151.57,83.32,169.7,190.85,,23,965,39,22.43,
10.05.23 17:41:20,6.78,65.07,100.06,190.85,160.73,105.17,77,125.65,165.98,155.83,80.29,92.76,159.51,128.29,162.27,146.74,91.36,56.52,149.45,150.06,137.16,150.06,81.94,169.39,190.53,,23,965,39,22.43,
10.05.23 17:41:35,7.03,64.8,100.35,191.17,160.73,105.17,76.18,125.65,165.67,155.83,79.19,90.81,158.89,128.29,162.58,146.74,91.08,55.99,149.45,149.45,136.56,150.06,81.12,169.39,190.85,,23,965,39,22.45,
10.05.23 17:41:50,7.28,64,99.5,190.85,159.51,105.45,74.82,124.19,165.05,155.53,77.82,89.97,157.67,127.7,161.96,145.83,90.53,55.19,148.55,148.24,135.37,148.55,80.02,168.15,190.53,,23,965,39,22.45,
10.05.23 17:42:05,7.53,64,98.37,191.17,159.2,104.03,73.46,122.73,164.12,155.22,77,88.02,157.36,126.82,161.35,144.63,89.97,54.4,148.55,147.64,135.08,147.64,78.65,167.84,190.85,,23,965,39,22.43,
10.05.23 17:42:20,7.78,63.19,98.65,190.85,157.97,104.03,72.64,122.73,164.12,155.22,76.18,86.64,156.45,126.82,161.35,144.33,89.69,53.34,148.24,146.74,133.6,147.34,77.28,167.84,190.85,,23,965,39,22.45,
10.05.23 17:42:35,8.03,62.66,97.53,190.85,157.67,103.46,71.28,120.98,163.2,154.31,74.55,84.42,154.92,126.82,161.04,143.13,88.58,53.08,147.64,145.53,132.71,146.13,76.18,166.91,190.53,,23,965,39,22.46,
10.05.23 17:42:50,8.28,62.39,97.25,190.85,156.75,102.89,70.2,120.98,163.81,153.7,73.73,82.77,154.01,126.24,160.73,142.83,88.58,51.76,147.94,144.93,132.41,145.53,74.82,166.6,190.85,,23,965,39,22.45,
10.05.23 17:43:05,8.53,61.85,96.4,190.85,156.75,102.89,68.58,119.53,161.96,154.31,72.91,81.39,153.09,125.65,160.73,142.53,88.3,52.02,147.34,144.03,131.53,144.63,73.73,165.36,190.53,,23,965,39,22.47,
10.05.23 17:43:20,8.78,61.59,95.84,191.17,156.45,102.89,67.5,118.66,161.66,154.01,71.83,80.02,152.79,125.36,160.43,141.63,87.75,51.23,147.64,143.13,130.94,143.73,73.19,165.98,190.53,,23,965,39,22.47,
10.05.23 17:43:35,9.03,61.32,95.28,190.85,155.53,101.76,66.42,118.66,161.04,153.4,70.74,78.92,151.57,125.36,160.43,140.73,86.91,50.7,147.04,141.63,130.05,142.53,71.83,165.05,190.53,,23,965,39,22.46,
10.05.23 17:43:50,9.28,60.78,94.44,190.85,154.92,101.76,65.61,117.21,160.73,152.79,69.66,77.55,150.06,125.07,159.81,140.43,86.91,50.17,147.04,141.33,130.05,142.23,70.74,164.43,190.53,,23,965,39,22.46,
10.05.23 17:44:05,9.53,60.78,94.16,191.17,154.01,101.76,64.8,116.35,160.12,153.09,69.12,76.18,150.36,124.48,159.81,140.14,86.91,49.65,146.74,140.73,129.47,141.03,70.2,164.12,190.53,,23,965,39,22.47,
10.05.23 17:44:20,9.78,60.25,93.32,190.53,153.7,101.48,64.27,116.06,160.73,153.09,68.31,74,149.45,123.9,159.81,139.84,86.64,49.12,146.43,139.84,128.88,140.43,69.12,163.81,190.85,,23,965,39,22.46,
10.05.23 17:44:35,10.03,60.25,93.04,190.85,153.7,101.2,63.19,114.61,160.12,152.49,67.23,72.64,148.55,124.19,159.51,138.94,86.08,48.33,146.13,138.35,128,139.24,68.04,163.51,190.21,,23,965,39,22.48,
10.05.23 17:44:50,10.28,59.18,91.92,190.85,152.79,100.35,61.59,114.04,158.89,152.49,66.42,71.56,146.74,123.6,158.89,138.35,85.53,47.28,145.83,137.75,126.53,138.64,66.96,162.58,189.89,,23,965,39,22.48,
10.05.23 17:45:05,10.53,58.65,91.64,189.89,151.88,99.5,60.78,113.17,158.28,151.88,65.07,69.39,146.43,123.02,158.89,137.75,85.25,46.5,145.53,136.86,126.24,137.75,65.61,161.96,190.21,,23,965,39,22.48,
10.05.23 17:45:20,10.78,58.92,91.08,191.49,150.97,100.35,59.98,112.31,157.97,152.49,63.73,68.31,146.13,123.02,159.2,136.86,84.7,46.24,145.53,136.26,125.94,137.16,65.07,161.96,190.85,,23,965,39,22.48,
10.05.23 17:45:35,11.03,58.12,91.08,190.53,150.36,99.22,59.18,111.45,157.97,151.88,62.93,66.96,144.33,122.44,158.89,135.97,84.15,45.45,144.93,134.48,125.07,135.67,64,161.66,190.53,,23,965,39,22.48,
10.05.23 17:45:50,11.28,57.85,90.53,190.21,150.36,99.5,58.38,110.88,157.06,151.27,62.39,65.34,143.73,121.56,158.59,135.97,84.15,44.67,144.63,133.89,124.19,135.37,62.93,160.73,190.53,,23,965,39,22.5,
10.05.23 17:46:05,11.53,57.32,89.69,189.89,149.15,98.94,57.05,110.02,156.45,151.27,61.59,63.73,142.83,121.56,158.28,134.78,83.32,44.14,144.63,132.71,123.31,133.6,62.12,160.43,190.21,,23,965,39,22.5,
10.05.23 17:46:20,11.78,57.58,88.86,190.21,148.55,99.22,56.26,109.16,156.45,150.66,60.78,62.66,142.53,121.27,157.36,134.78,83.32,44.14,144.33,131.82,122.44,133.6,61.05,160.12,190.21,,23,965,39,22.5,
10.05.23 17:46:35,12.03,57.05,88.3,190.21,148.55,98.65,55.72,108.02,156.45,150.06,59.45,60.25,141.63,120.69,157.67,134.19,82.77,43.36,143.73,130.64,121.86,132.12,60.52,159.2,190.21,,23,965,39,22.5,
10.05.23 17:46:50,12.28,56.79,88.02,190.21,147.34,98.37,55.19,107.73,155.22,150.06,58.38,59.98,140.43,120.69,157.97,133.3,82.77,43.36,144.03,130.35,121.27,131.53,59.72,159.2,189.89,,23,965,39,22.5,
10.05.23 17:47:05,12.53,56.79,86.91,189.89,146.74,98.09,54.4,106.87,155.53,150.36,57.32,57.58,139.24,119.82,157.67,132.71,82.22,42.84,143.43,129.17,120.98,131.23,58.65,158.59,190.21,,23,965,39,22.5,
10.05.23 17:47:20,12.78,56.79,87.47,189.89,146.74,97.53,53.87,106.59,154.92,149.76,56.79,56.79,138.64,120.4,157.06,132.41,81.94,42.32,143.73,128.29,120.11,130.05,57.58,158.28,190.53,,23,965,39,22.5,
10.05.23 17:47:35,13.03,56.79,86.36,190.53,146.13,97.53,53.08,106.3,154.31,149.45,55.99,55.72,138.05,120.4,156.75,131.82,81.94,42.06,143.73,128,119.53,128.88,56.79,157.97,190.53,,23,965,39,22.52,
10.05.23 17:47:50,13.28,56.52,86.08,190.85,144.93,96.97,52.28,105.45,153.7,148.85,54.93,54.13,136.86,120.11,156.75,131.23,81.39,41.54,143.43,126.53,119.24,128,56.26,157.67,190.21,,23,965,39,22.5,
10.05.23 17:48:05,13.53,56.79,85.81,190.53,144.63,97.25,51.76,104.6,153.7,149.15,54.13,52.02,135.97,119.82,156.75,130.64,80.84,41.54,143.43,125.94,118.66,127.12,55.19,157.36,190.21,,23,965,39,22.5,
10.05.23 17:48:20,13.78,56.79,84.7,189.25,143.73,96.4,50.96,104.03,153.4,149.15,53.34,51.23,134.48,119.53,156.45,130.05,80.84,40.76,142.53,124.77,117.79,126.82,54.66,156.45,190.53,,23,965,39,22.52,
10.05.23 17:48:35,14.03,56.52,84.42,189.57,143.13,95.84,50.17,103.18,152.79,148.55,52.55,49.91,133.3,118.66,155.83,129.17,80.02,40.24,142.53,123.6,116.63,125.65,53.6,156.14,190.21,,23,965,39,22.52,
