Measurement Name :,Meas-641,,Generated On :,"11/05/2023, 12:23:24",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0007000641      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 045

Ref LED current   : 095

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"07/03/2023, 01:36:16",,,,,,Batch No.:  ,SV-PSt5-1651-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"07/03/2023, 01:50:46",,,,,,O2_cal0 [°],54.9,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.66,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],22.7,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],979,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
07.03.23 01:36:18,0.03,174.98,220.63,237.52,206.73,195.34,243.36,210.67,216.63,187,206.07,145.46,240.95,151.21,214.31,146.07,199.23,216.96,179.07,152.42,211.33,178.75,193.73,224.98,202.48,,23,979,39,25.36,
07.03.23 01:36:34,0.3,174.35,220.29,237.18,205.09,194.7,242.67,209.68,215.63,186.04,204.76,144.86,240.95,150.6,214.64,144.26,198.25,215.96,177.81,150.6,210.34,177.49,192.77,224.98,201.18,,23,979,39,25.37,
07.03.23 01:36:49,0.55,173.72,219.96,237.18,205.09,193.73,244.05,208.7,214.64,185.41,203.46,143.36,240.61,150,214.97,143.96,196.64,215.96,177.18,149.09,209.68,178.12,191.48,223.64,199.88,,23,979,39,25.4,
07.03.23 01:37:04,0.8,173.41,219.96,236.84,204.44,194.05,244.05,208.37,214.31,185.09,203.13,142.76,240.95,150,214.64,142.46,195.34,215.63,176.23,148.18,208.37,178.12,190.52,223.3,198.25,,23,979,39,25.41,
07.03.23 01:37:19,1.05,172.78,219.63,236.5,203.46,193.41,244.05,208.04,213.64,184.14,202.48,141.86,240.26,148.78,213.64,141.26,195.02,214.97,174.98,146.07,207.71,177.49,190.52,221.3,197.28,,23,979,39,25.43,
07.03.23 01:37:34,1.3,172.47,219.96,236.5,202.48,192.77,244.74,207.38,212.98,182.87,202.48,140.96,240.26,148.48,213.31,140.06,192.77,214.64,174.66,144.86,207.71,177.18,189.56,220.63,195.67,,23,979,39,25.44,
07.03.23 01:37:49,1.55,171.53,218.63,236.5,201.18,191.16,244.39,206.4,211.33,182.55,201.5,139.76,240.26,147.27,213.31,138.87,192.45,213.64,173.72,143.06,207.38,176.55,188.6,218.96,194.38,,23,979,39,25.46,
