Measurement Name :,20230510_Plate6_Meas-710,,Generated On :,"10/05/2023, 18:39:48",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"10/05/2023, 18:22:56",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"10/05/2023, 18:39:25",,,,,,O2_cal0 [°],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
10.05.23 18:22:58,0.03,178.15,210.99,177.52,232.71,200.85,170.32,209.67,155.83,227.3,155.53,226.29,165.67,141.63,202.47,164.74,150.06,217.93,135.08,204.1,214.29,218.93,155.53,197.61,207.05,,23,965,39,22.36,
10.05.23 18:23:13,0.28,177.52,209.34,174.07,233.39,199.23,167.84,207.7,155.22,227.64,154.01,225.95,164.12,140.73,201.17,163.2,148.24,217.93,133.3,203.13,213.62,218.27,153.4,196.64,206.39,,23,965,39,22.41,
10.05.23 18:23:28,0.53,176.89,208.03,172.19,231.69,198.9,166.6,207.05,153.09,227.64,152.79,225.62,162.89,140.14,199.88,161.35,145.83,217.27,132.71,202.15,212.96,217.93,152.79,195.67,205.41,,23,965,39,22.43,
10.05.23 18:23:43,0.78,176.26,206.72,170.32,232.03,196.64,164.74,206.39,152.18,226.63,151.27,224.95,160.73,139.24,198.58,159.81,144.33,215.94,130.94,201.5,212.3,216.27,150.97,194.71,204.76,,23,965,39,22.46,
10.05.23 18:23:58,1.03,175.01,205.08,168.77,231.69,195.67,162.89,205.41,151.27,225.95,149.15,224.28,158.89,137.75,197.29,158.28,142.23,215.61,130.05,199.55,212.3,215.61,149.45,194.06,203.78,,23,965,39,22.47,
10.05.23 18:24:13,1.28,174.38,203.45,167.22,231.01,194.71,161.35,205.74,149.76,224.95,148.55,224.61,157.67,136.86,196.64,156.45,140.43,214.29,129.17,199.23,212.3,214.95,148.24,193.42,202.8,,23,965,39,22.48,
10.05.23 18:24:28,1.53,173.13,202.47,164.12,230,192.45,159.51,204.76,148.85,223.94,147.04,223.94,155.53,135.67,195.03,154.92,137.45,213.29,127.7,197.61,210.99,213.96,146.74,192.13,201.82,,23,965,39,22.5,
10.05.23 18:24:43,1.78,171.88,202.15,163.81,230,191.81,158.89,203.78,147.64,223.94,146.13,223.61,154.62,134.78,193.74,154.01,136.86,212.63,127.12,196.96,211.32,213.62,145.23,191.17,201.82,,23,965,39,22.52,
10.05.23 18:24:58,2.03,172.19,200.2,161.66,228.65,190.85,157.36,203.78,147.04,222.6,144.33,223.27,153.09,134.19,192.45,152.18,135.08,211.32,126.24,195.99,210.66,212.63,144.33,189.57,201.17,,23,965,39,22.54,
