Date,Plate.ID,Sample.ID,Chamber.ID,SDR,Spat.Resp.ID,TemperatureCat,Type,Salinity,Run,Volume,Org.Number,Notes
20230505,Plate1,Plate1-SpatA1,A1,SDR-710,SDR-710-A1,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatB1,B1,SDR-710,SDR-710-B1,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatC1,C1,SDR-710,SDR-710-C1,23,Sample,39,Plate1,0.00008,1,Pale/ bleach
20230505,Plate1,BLNK-1,D1,SDR-710,SDR-710-D1,23,Blank,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatA2,A2,SDR-710,SDR-710-A2,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatB2,B2,SDR-710,SDR-710-B2,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatC2,C2,SDR-710,SDR-710-C2,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatD2,D2,SDR-710,SDR-710-D2,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatA3,A3,SDR-710,SDR-710-A3,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatB3,B3,SDR-710,SDR-710-B3,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatC3,C3,SDR-710,SDR-710-C3,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatD3,D3,SDR-710,SDR-710-D3,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatA4,A4,SDR-710,SDR-710-A4,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatB4,B4,SDR-710,SDR-710-B4,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatC4,C4,SDR-710,SDR-710-C4,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatD4,D4,SDR-710,SDR-710-D4,23,Sample,39,Plate1,0.00008,1,
