"","Date","Run","Sample.ID","Chamber.ID","Intercept","umol.L.min"
"2","20230505_Plate1","Plate1","Plate1-SpatA1","A1",208.860034632035,-1.83111688311689
"3","20230505_Plate1","Plate1","Plate1-SpatB1","B1",151.289250469043,-0.877343339587239
"4","20230505_Plate1","Plate1","Plate1-SpatC1","C1",210.677921071177,-1.20455532064835
"5","20230505_Plate1","Plate1","BLNK-1","D1",245.387246963563,-0.402024291497983
"6","20230505_Plate1","Plate1","Plate1-SpatA2","A2",160.755596638655,-1.87391596638655
"7","20230505_Plate1","Plate1","Plate1-SpatB2","B2",155.895351906158,-1.6049340175953
"8","20230505_Plate1","Plate1","Plate1-SpatC2","C2",147.806694677871,-1.43414005602241
"9","20230505_Plate1","Plate1","Plate1-SpatD2","D2",144.93264033264,-1.75686180107234
"10","20230505_Plate1","Plate1","Plate1-SpatA3","A3",190.614825910931,-1.76181376518219
"11","20230505_Plate1","Plate1","Plate1-SpatB3","B3",201.541359816654,-2.1598166539343
"12","20230505_Plate1","Plate1","Plate1-SpatC3","C3",168.301848739496,-1.40107563025209
"13","20230505_Plate1","Plate1","Plate1-SpatD3","D3",181.822975117975,-1.21323037323037
"14","20230505_Plate1","Plate1","Plate1-SpatA4","A4",153.802251843449,-1.38721983631797
"15","20230505_Plate1","Plate1","Plate1-SpatB4","B4",179.465906862745,-1.9885294117647
"16","20230505_Plate1","Plate1","Plate1-SpatC4","C4",173.475881241565,-0.465246963562745
"17","20230505_Plate1","Plate1","Plate1-SpatD4","D4",153.358746033483,-1.49439982492614
"18","20230505_Plate1","Plate1","Plate1-SpatA5","A5",119.758703744902,-1.9499532814238
"19","20230505_Plate1","Plate1","Plate1-SpatB5","B5",180.907380863039,-2.42549343339588
"20","20230505_Plate1","Plate1","Plate1-SpatC5","C5",145.961957983193,-1.13083473389356
"21","20230505_Plate1","Plate1","Plate1-SpatD5","D5",124.531991419991,-1.38372200772201
"22","20230505_Plate1","Plate1","Plate1-SpatA6","A6",163.939292547275,1.16435150166852
"23","20230505_Plate1","Plate1","Plate1-SpatB6","B6",190.351328185328,-0.624803088803082
"24","20230505_Plate1","Plate1","BLNK-2","C6",231.528599444959,-0.648821461609628
"25","20230505_Plate1","Plate1","Plate1-SpatD6","D6",131.341227705438,-1.14776233723603
"26","20230505_Plate2","Plate2","Plate2-SpatA1","A1",171.264280788177,-1.61968472906404
"27","20230505_Plate2","Plate2","Plate2-SpatB1","B1",219.248151515151,-0.904363636363636
"28","20230505_Plate2","Plate2","Plate2-SpatC1","C1",236.549933554817,-0.770450015101173
"29","20230505_Plate2","Plate2","Plate2-SpatD1","D1",198.952577996716,-1.64942528735632
"30","20230505_Plate2","Plate2","Plate2-SpatA2","A2",192.477664812755,-2.24782202447162
"31","20230505_Plate2","Plate2","BLNK-3","B2",245.192761904762,0.124313725490204
"32","20230505_Plate2","Plate2","Plate2-SpatC2","C2",207.29245014245,-2.05643467643468
"33","20230505_Plate2","Plate2","Plate2-SpatD2","D2",210.74552473262,-2.01653743315509
"34","20230505_Plate2","Plate2","Plate2-SpatA3","A3",182.567750750751,-2.19174774774774
"35","20230505_Plate2","Plate2","Plate2-SpatB3","B3",202.069600439883,-2.47732404692082
"36","20230505_Plate2","Plate2","Plate2-SpatC3","C3",132.994547008547,-1.61941880341879
