Tube.ID,Tube lable ,Species,Number.individuals,Stage,Time.Post.Release,Parent.Colony.ID,Fixative,Goal,Fluorescence.Type,Storage.Location
1,11042023_swimmimg planula,S. pistillata,15,swim,5h,Mix,freeze,16S/metabolome,Mix,
2,11042023_swimmimg planula,S. pistillata,15,swim,5h,Mix,freeze,16S/metabolome,Mix,
3,11042023_swimmimg planula,S. pistillata,15,swim,5h,Mix,freeze,16S/metabolome,Mix,
4,11042023_spat,S. pistillata,11,spat,5h,Mix,freeze,16S/metabolome,Mix,
5,11042023_spat,S. pistillata,11,spat,5h,Mix,freeze,16S/metabolome,Mix,
6,11042023_spat,S. pistillata,11,spat,5h,Mix,freeze,16S/metabolome,Mix,
7,11042023_spat,S. pistillata,11,spat,5h,Mix,freeze,16S/metabolome,Mix,
8,11042023_spat,S. pistillata,11,spat,5h,Mix,freeze,16S/metabolome,Mix,
9,11042023_swimmimg planula,S. pistillata,1,swim,5h,Mix,5%SDS,proteome,Mix,
10,11042023_swimmimg planula,S. pistillata,1,swim,5h,Mix,5%SDS,proteome,Mix,
11,11042023_swimmimg planula,S. pistillata,1,swim,5h,Mix,5%SDS,proteome,Mix,
12,11042023_swimmimg planula,S. pistillata,1,swim,5h,Mix,5%SDS,proteome,Mix,
13,11042023_swimmimg planula,S. pistillata,1,swim,5h,Mix,5%SDS,proteome,Mix,
14,11042023_swimmimg planula,S. pistillata,1,swim,5h,Mix,5%SDS,proteome,Mix,
15,11042023_spat,S. pistillata,1,spat,5h,Mix,5%SDS,proteome,Mix,
16,11042023_spat,S. pistillata,1,spat,5h,Mix,5%SDS,proteome,Mix,
17,11042023_spat,S. pistillata,1,spat,5h,Mix,5%SDS,proteome,Mix,
18,11042023_spat,S. pistillata,1,spat,5h,Mix,5%SDS,proteome,Mix,
19,11042023_spat,S. pistillata,1,spat,5h,Mix,5%SDS,proteome,Mix,
20,11042023_spat,S. pistillata,1,spat,5h,Mix,5%SDS,proteome,Mix,
21,11042023_spat,S. pistillata,1,spat,5h,Mix,5%SDS,proteome,Mix,
22,11042023_spat,S. pistillata,1,spat,5h,Mix,5%SDS,proteome,Mix,
23,11042023_spat,S. pistillata,1,spat,5h,Mix,5%SDS,proteome,Mix,
24,11042023_spat,S. pistillata,1,spat,5h,Mix,5%SDS,proteome,Mix,
25,11042023_spat,S. pistillata,1,spat,5h,Mix,5%SDS,proteome,Mix,
26,15042023_swim,S. pistillata,15,swim,5h,E&F,freeze,16S/metabolome,Mix,
27,15042023_swim,S. pistillata,15,swim,5h,E&F,freeze,16S/metabolome,Mix,
28,15042023_spat,S. pistillata,4,spat,4 days,mix,freeze,16S/metabolome,Mix,
29,15042023_spat,S. pistillata,4,spat,4 days,mix,freeze,16S/metabolome,Mix,
30,15042023_spat,S. pistillata,4,spat,4 days,mix,freeze,16S/metabolome,Mix,
31,15042023_swim,S. pistillata,15,swim,5h,D,freeze,16S/metabolome,Mix,
32,15042023_swim,S. pistillata,15,swim,5h,D,freeze,16S/metabolome,Mix,
33,15042023_swim,S. pistillata,15,swim,5h,D,freeze,16S/metabolome,Mix,
34,15042023_swim,S. pistillata,15,swim,5h,D,freeze,16S/metabolome,Mix,
35,15042023_swim,S. pistillata,15,swim,5h,D,freeze,16S/metabolome,Mix,
36,15042023_swim,S. pistillata,15,swim,5h,D,freeze,16S/metabolome,Mix,
37,15042023_swim,S. pistillata,15,metamorphose ,5h,D,freeze,16S/metabolome,Mix,
38,15042023_swim,S. pistillata,4,metamorphose ,2 days,mix,freeze,16S/metabolome,Mix,
39,15042023_swim,S. pistillata,15,swim,3days,mix,freeze,16S/metabolome,Mix,
40,15042023_spat,S. pistillata,1,spat,3 days,Mix,5%SDS,proteome,Mix,
41,15042023_spat,S. pistillata,1,spat,3 days,Mix,5%SDS,proteome,Mix,
42,15042023_spat,S. pistillata,1,spat,3 days,Mix,5%SDS,proteome,Mix,
43,15042023_spat,S. pistillata,1,spat,3 days,Mix,5%SDS,proteome,Mix,
44,15042023_spat,S. pistillata,1,spat,3 days,Mix,5%SDS,proteome,Mix,
45,15042023_spat,S. pistillata,1,spat,3 days,Mix,5%SDS,proteome,Mix,
46,19042023_swim,S. pistillata,15,swim,5h,D,freeze,16S/metabolome,Mix,
47,19042023_swim,S. pistillata,15,swim,5h,D,freeze,16S/metabolome,Mix,
48,19042023_swim,S. pistillata,15,swim,5h,D,freeze,16S/metabolome,Mix,
49,19042023_swim,S. pistillata,15,swim,5h,D,freeze,16S/metabolome,Mix,
50,19042023_swim,S. pistillata,15,swim,5h,D,freeze,16S/metabolome,Mix,
51,19042023_swim,S. pistillata,15,swim,5h,D,freeze,16S/metabolome,Mix,
52,19042023_spat,S. pistillata,10,spat,5h,D,freeze,16S/metabolome,Mix,
53,19042023_spat,S. pistillata,10,spat,5h,D,freeze,16S/metabolome,Mix,
54,19042023_spat,S. pistillata,10,spat,5h,C,freeze,16S/metabolome,Mix,
55,19042023_swim,S. pistillata,15,swim,5h,C+D,freeze,16S/metabolome,green,
56,19042023_swim,S. pistillata,15,swim,5h,C+D,freeze,16S/metabolome,green,
57,19042023_swim,S. pistillata,15,swim,5h,C+D,freeze,16S/metabolome,green,
58,19042023_swim,S. pistillata,15,swim,5h,C+D,freeze,16S/metabolome,half green,
59,19042023_swim,S. pistillata,15,swim,5h,C+D,freeze,16S/metabolome,half green,
60,19042023_swim,S. pistillata,15,swim,5h,C+D,freeze,16S/metabolome,half green,
61,19042023_swim,S. pistillata,15,swim,5h,C+D,freeze,16S/metabolome,brown,
62,19042023_swim,S. pistillata,15,swim,5h,C+D,freeze,16S/metabolome,brown,
63,19042023_swim,S. pistillata,15,swim,5h,C+D,freeze,16S/metabolome,brown,
64,2 settled,S. pistillata,5,spats,1 month,mix,PFA,imaging proteomic,mix,
65,1 setteled,S. pistillata,5,spats,1 month,mix,PFA,imaging proteomic,mix,
66,3 setteled,S. pistillata,5,spats,1 month,mix,PFA,imaging proteomic,mix,
67,C planula,S. pistillata,6,swim,5 h,mix,PFA,imaging proteomic,mix,
68,B planula,S. pistillata,6,swim,5 h,mix,PFA,imaging proteomic,mix,
69,A planula,S. pistillata,6,swim,5 h,mix,PFA,imaging proteomic,mix,
70,17052023 A001,S. pistillata,1,spat,1 month,mix,freeze,16s,mix,
71,17052023 A002,S. pistillata,1,spat,1 month,mix,freeze,16s,mix,
72,17052023 A003,S. pistillata,1,spat,1 month,mix,freeze,16s,mix,
73,17052023 A004,S. pistillata,1,spat,1 month,mix,freeze,16s,mix,
74,17052023 A005,S. pistillata,1,spat,1 month,mix,freeze,16s,mix,
75,17052023 A006,S. pistillata,1,spat,1 month,mix,freeze,16s,mix,
76,17052023 A007,S. pistillata,1,spat,1 month,mix,freeze,16s,mix,
77,17052023 A008,S. pistillata,1,spat,1 month,mix,freeze,16s,mix,
78,17052023 A009,S. pistillata,1,spat,1 month,mix,freeze,16s,mix,
79,17052023 A010,S. pistillata,1,spat,1 month,mix,freeze,16s,mix,
80,17052023 B001,S. pistillata,5,spat,2 month,mix,freeze,metabolomics,mix,
81,17052023 B002,S. pistillata,5,spat,2 month,mix,freeze,metabolomics,mix,
82,17052023 B003,S. pistillata,5,spat,2 month,mix,freeze,metabolomics,mix,
83,17052023 B004,S. pistillata,5,spat,2 month,mix,freeze,metabolomics,mix,
84,17052023 B005,S. pistillata,5,spat,2 month,mix,freeze,metabolomics,mix,
85,17052023 B006,S. pistillata,5,spat,2 month,mix,freeze,metabolomics,mix,
86,17052023 B007,S. pistillata,5,spat,2 month,mix,freeze,metabolomics,mix,
87,17052023 B008,S. pistillata,5,spat,2 month,mix,freeze,metabolomics,mix,
88,17052023 B009,S. pistillata,5,spat,2 month,mix,freeze,metabolomics,mix,
89,17052023 B010,S. pistillata,5,spat,2 month,mix,freeze,metabolomics,mix,
90,17052023 C001,aquaria water,,,,,freeze,16s,,
91,17052023 C002,aquaria water,,,,,freeze,16s,,
92,17052023 C003,aquaria water,,,,,freeze,16s,,
93,17052023 C004,aquaria water,,,,,freeze,16s,,
94,17052023 C005,aquaria water,,,,,freeze,16s,different genotype,
95,17052023 D001,S. pistillata,1,adult,,,freeze,16s,different genotype,
96,17052023 D002,S. pistillata,1,adult,,,freeze,16s,different genotype,
97,17052023 D003,S. pistillata,1,adult,,,freeze,16s,different genotype,
98,17052023 D004,S. pistillata,1,adult,,,freeze,16s,different genotype,
99,17052023 D005,S. pistillata,1,adult,,,freeze,16s,different genotype,
100,25052023,Supop 0.2um filtered sea water from aquarium ,,,,,freeze,16s,,
101,25052023,Supop 0.2um filtered sea water from aquarium ,,,,,freeze,16s,,
102,25052023,Supop 0.2um filtered sea water from aquarium ,,,,,freeze,16s,,
103,25052023,S. pistillata,4,spats,16 days,half green planula origin,freez after physiology ,physiology,,
104,25052023,S. pistillata,4,spats,16 days,half green planula origin,freez after physiology ,physiology,,
